State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
North Carolina,Youth (Under 18),2021,2000,42.233271041,10.558317760,86.899734652,21.724933663,79.382907604,19.845726901,22.246332071,5.561583018,66.608646610,16.652161653,512,1533,1827,972,2301503
North Dakota,Youth (Under 18),2021,163,35.002504025,8.750626006,87.775510094,21.943877524,79.159509103,19.789877276,19.386002229,4.846500557,63.004507246,15.751126811,36,117,147,65,185701
Ohio,Youth (Under 18),2021,2884,49.968740753,12.492185188,110.683447260,27.670861815,92.338548581,23.084637145,28.016267857,7.004066964,75.874193909,18.968548477,730,1977,2406,1302,2605629
Oklahoma,Youth (Under 18),2021,1044,45.136397200,11.284099300,108.576955477,27.144238869,81.640718438,20.410179610,27.144238869,6.786059717,71.240626918,17.810156729,261,685,785,434,961530
Oregon,Youth (Under 18),2021,1150,52.591800555,13.147950139,133.511193462,33.377798366,90.787611554,22.696902889,29.024172492,7.256043123,77.900878968,19.475219742,250,671,782,453,861351
Pennsylvania,Youth (Under 18),2021,2595,43.417954091,10.854488523,97.045297903,24.261324476,82.236073252,20.559018313,24.420261861,6.105065465,68.137392208,17.034348052,653,1822,2199,1161,2674009
Rhode Island,Youth (Under 18),2021,180,39.745818309,9.936454577,86.195750549,21.548937637,72.308657405,18.077164351,23.943264042,5.985816010,65.604543474,16.401135868,50,137,151,83,208827
South Carolina,Youth (Under 18),2021,1025,44.042925739,11.010731435,91.756095290,22.939023823,85.310789085,21.327697271,25.065079689,6.266269922,72.509694815,18.127423704,280,810,953,492,1117092
South Dakota,Youth (Under 18),2021,213,34.478222013,8.619555503,96.629753798,24.157438450,97.083414614,24.270853654,22.683040798,5.670760199,82.112607688,20.528151922,50,181,214,76,220429
Tennessee,Youth (Under 18),2021,1521,43.747087314,10.936771828,98.723026416,24.680756604,81.133322169,20.283330542,25.638129806,6.409532451,68.995777173,17.248944293,395,1063,1250,674,1540674
Texas,Youth (Under 18),2021,5926,36.787166710,9.196791677,79.272999972,19.818249993,86.122101556,21.530525389,21.697739783,5.424434946,70.725000144,17.681250036,1622,5287,6438,2750,7475433
Utah,Youth (Under 18),2021,824,39.377435357,9.844358839,86.989294194,21.747323548,82.555373859,20.638843465,23.330866525,5.832716631,73.687533188,18.421883297,221,698,782,373,947243
Vermont,Youth (Under 18),2021,170,68.390097114,17.097524278,145.328956367,36.332239092,123.957051019,30.989262755,35.049924771,8.762481193,101.730269457,25.432567364,41,119,145,80,116976
Virginia,Youth (Under 18),2021,1833,43.027844480,10.756961120,97.250356266,24.312589067,92.528434986,23.132108746,24.299325243,6.074831311,71.996035708,17.999008927,458,1357,1744,811,1884826
Washington,Youth (Under 18),2021,1869,44.447838522,11.111959631,111.507396240,27.876849060,97.248290996,24.312072749,27.623287565,6.905821891,81.616970602,20.404242651,463,1368,1630,745,1676122
West Virginia,Youth (Under 18),2021,459,58.769298473,14.692324618,127.844113739,31.961028435,109.461299999,27.365325000,33.423297710,8.355824427,91.914068702,22.978517175,120,330,393,211,359031
Wisconsin,Youth (Under 18),2021,1377,45.420456935,11.355114234,108.020672191,27.005168048,91.076253024,22.769063256,26.514878141,6.628719535,77.740367568,19.435091892,338,991,1161,579,1274756
Wyoming,Youth (Under 18),2021,169,60.412009908,15.103002477,127.620370930,31.905092732,117.048269196,29.262067299,27.940554582,6.985138646,91.373164985,22.843291246,37,121,155,80,132424
