State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Alabama,Adults (Over 18),2023,2747,19.102972847,4.775743212,69.320827489,17.330206872,25.638864481,6.409716120,14.434478822,3.608619705,27.455791885,6.863947971,572,1088,1016,757,3962734
Alaska,Adults (Over 18),2023,631,24.234373317,6.058593329,113.273256023,28.318314006,35.723261408,8.930815352,27.645136969,6.911284242,37.338886296,9.334721574,154,208,199,135,557060
Arizona,Adults (Over 18),2023,4275,15.372118789,3.843029697,74.087720207,18.521930052,28.161998909,7.040499727,14.990848650,3.747712163,28.387294900,7.096823725,865,1638,1625,887,5770187
Arkansas,Adults (Over 18),2023,2181,21.502922268,5.375730567,92.867076173,23.216769043,28.443469456,7.110867364,22.567423371,5.641855843,31.551812675,7.887953169,530,741,668,505,2348518
California,Adults (Over 18),2023,18265,11.299559042,2.824889760,59.839503016,14.959875754,23.257631093,5.814407773,10.821236160,2.705309040,23.274012013,5.818503003,3303,7104,7099,3449,30523315
Colorado,Adults (Over 18),2023,4842,19.137820637,4.784455159,104.706584773,26.176646193,31.031381485,7.757845371,17.710593335,4.427648334,31.074630797,7.768657699,819,1437,1435,885,4624351
Connecticut,Adults (Over 18),2023,1916,12.019998791,3.004999698,66.179073804,16.544768451,23.107411469,5.776852867,11.709136753,2.927284188,22.485687394,5.621421848,339,651,669,348,2895175
Delaware,Adults (Over 18),2023,632,13.452322624,3.363080656,77.998788057,19.499697014,28.262219090,7.065554773,16.414301917,4.103575479,28.138803286,7.034700822,133,228,229,109,810269
District of Columbia,Adults (Over 18),2023,492,16.626227783,4.156556946,89.891253508,22.472813377,27.040458372,6.760114593,13.154817587,3.288704397,26.126929373,6.531732343,72,143,148,91,547328
Florida,Adults (Over 18),2023,9547,12.574888699,3.143722175,53.191166333,13.297791583,20.168851171,5.042212793,11.271156331,2.817789083,21.110435659,5.277608915,2023,3789,3620,2257,17948469
Georgia,Adults (Over 18),2023,5637,15.256904493,3.814226123,67.085156496,16.771289124,24.729990278,6.182497570,14.126322647,3.531580662,25.801067817,6.450266954,1187,2168,2078,1282,8402753
Hawaii,Adults (Over 18),2023,594,10.499881876,2.624970469,51.974415288,12.993603822,30.274659410,7.568664853,9.362394673,2.340598668,28.524679097,7.131169774,107,326,346,120,1142870
Idaho,Adults (Over 18),2023,1293,16.399786125,4.099946531,87.623650660,21.905912665,29.411186687,7.352796672,15.654341301,3.913585325,29.682257532,7.420564383,231,438,434,242,1475629
Illinois,Adults (Over 18),2023,6444,12.837281575,3.209320394,65.342371618,16.335592904,23.159835005,5.789958751,12.695321115,3.173830279,23.200395137,5.800098784,1252,2288,2284,1266,9861901
Indiana,Adults (Over 18),2023,5225,20.501170980,5.125292745,99.275827960,24.818956990,29.925249577,7.481312394,21.128176209,5.282044052,31.711264472,7.927816118,1112,1669,1575,1079,5263114
