State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Iowa,Adults (Over 18),2023,2198,18.174269435,4.543567359,88.771209372,22.192802343,26.453658844,6.613414711,19.547436459,4.886859115,27.140242356,6.785060589,484,672,655,450,2476028
Kansas,Adults (Over 18),2023,2203,19.765678769,4.941419692,98.071599836,24.517899959,28.891724146,7.222931036,18.252090755,4.563022689,30.984036989,7.746009247,410,696,649,444,2246318
Kentucky,Adults (Over 18),2023,3279,20.839658640,5.209914660,93.479125419,23.369781355,27.995273303,6.998818326,22.607180987,5.651795247,30.817607373,7.704401843,793,1081,982,731,3507735
Louisiana,Adults (Over 18),2023,2015,13.404947304,3.351236826,57.105642321,14.276410580,18.506195750,4.626548937,12.639760037,3.159940009,19.923209207,4.980802302,446,703,653,473,3528548
Maine,Adults (Over 18),2023,1062,20.220811259,5.055202815,93.367398074,23.341849518,24.528723223,6.132180806,16.879981573,4.219995393,24.792472935,6.198118234,192,282,279,230,1137442
Maryland,Adults (Over 18),2023,2813,10.917232228,2.729308057,58.384361708,14.596090427,19.862720994,4.965680248,10.356841981,2.589210495,19.198554774,4.799638694,499,925,957,526,4818071
Massachusetts,Adults (Over 18),2023,3583,11.267525786,2.816881446,63.477271841,15.869317960,20.727995550,5.181998887,10.682890014,2.670722504,20.338238368,5.084559592,603,1148,1170,636,5644540
Michigan,Adults (Over 18),2023,6196,16.417609470,4.104402367,78.188707360,19.547176840,24.721058379,6.180264595,15.774029083,3.943507271,25.654880901,6.413720225,1250,2033,1959,1301,7924418
Minnesota,Adults (Over 18),2023,3757,14.628007729,3.657001932,84.941924322,21.235481081,25.796842069,6.449210517,17.160213085,4.290053271,24.869874036,6.217468509,759,1100,1141,647,4423022
Mississippi,Adults (Over 18),2023,1680,16.843531111,4.210882778,74.270688365,18.567672091,26.304202129,6.576050532,22.900128913,5.725032228,30.680867694,7.670216923,518,694,595,381,2261996
Missouri,Adults (Over 18),2023,4333,18.927710896,4.731927724,90.026093647,22.506523412,25.887955847,6.471988962,18.512173884,4.628043471,27.550103895,6.887525974,891,1326,1246,911,4813049
Montana,Adults (Over 18),2023,917,17.995442654,4.498860664,103.136380712,25.784095178,26.880692465,6.720173116,18.332857204,4.583214301,29.242594313,7.310648578,163,260,239,160,889114
Nebraska,Adults (Over 18),2023,1304,17.032736383,4.258184096,87.443654501,21.860913625,28.633773368,7.158443342,15.356285951,3.839071488,28.969063454,7.242265864,229,432,427,254,1491246
Nevada,Adults (Over 18),2023,1673,14.188137110,3.547034277,67.242927435,16.810731859,26.125464933,6.531366233,12.620609214,3.155152303,24.517744014,6.129436003,314,610,650,353,2487994
New Hampshire,Adults (Over 18),2023,937,15.845127448,3.961281862,82.026985740,20.506746435,23.461293680,5.865323420,17.245801698,4.311450424,24.861967930,6.215491982,197,284,268,181,1142307
New Jersey,Adults (Over 18),2023,3363,9.865718897,2.466429724,46.273936752,11.568484188,19.992872465,4.998218116,8.778701055,2.194675264,19.827755831,4.956938958,638,1441,1453,717,7267590
New Mexico,Adults (Over 18),2023,1176,14.148966853,3.537241713,71.107628289,17.776907072,23.400214411,5.850053603,13.241981799,3.310495450,23.339748741,5.834937185,219,386,387,234,1653831
New York,Adults (Over 18),2023,8744,10.798156511,2.699539128,55.737355687,13.934338922,21.283969652,5.320992413,9.810131565,2.452532891,20.927005801,5.231751450,1539,3283,3339,1694,15687863
North Carolina,Adults (Over 18),2023,5851,13.957483103,3.489370776,69.620830038,17.405207510,22.346251720,5.586562930,13.433928749,3.358482187,23.167280138,5.791820034,1129,1947,1878,1173,8404094
North Dakota,Adults (Over 18),2023,488,18.776635160,4.694158790,81.812481768,20.453120442,25.817873345,6.454468336,16.094258709,4.023564677,25.482576288,6.370644072,96,152,154,112,596486
Ohio,Adults (Over 18),2023,7761,18.502186543,4.625546636,84.418265585,21.104566396,27.998017732,6.999504433,17.447094189,4.361773547,27.910999806,6.977749951,1604,2566,2574,1701,9193508
Oklahoma,Adults (Over 18),2023,3306,24.782711059,6.195677765,107.804793107,26.951198277,30.554474029,7.638618507,23.315313694,5.828828423,33.782748233,8.445687058,715,1036,937,760,3066654
Oregon,Adults (Over 18),2023,3853,19.805186314,4.951296579,113.218668945,28.304667236,28.503012945,7.125753236,16.749193174,4.187298293,28.503012945,7.125753236,570,970,970,674,3403149
Pennsylvania,Adults (Over 18),2023,7107,14.467202504,3.616800626,68.682971407,17.170742852,24.575882410,6.143970602,14.157950346,3.539487587,24.459912851,6.114978213,1465,2531,2543,1497,10347543
Rhode Island,Adults (Over 18),2023,531,11.238202697,2.809550674,59.674856320,14.918714080,20.116382827,5.029095707,9.552472292,2.388118073,20.116382827,5.029095707,85,179,179,100,889822
South Carolina,Adults (Over 18),2023,2893,16.063342875,4.015835719,69.463753271,17.365938318,23.554767355,5.888691839,15.150925791,3.787731448,26.147952752,6.536988188,631,1089,981,669,4164762
South Dakota,Adults (Over 18),2023,611,16.940342484,4.235085621,88.466232975,22.116558244,29.971375165,7.492843791,19.546549021,4.886637255,29.681796661,7.420449165,135,205,207,117,690659
Tennessee,Adults (Over 18),2023,5021,19.589342092,4.897335523,91.072302448,22.768075612,30.091406047,7.522851512,19.172161659,4.793040415,34.190657262,8.547664316,1057,1885,1659,1080,5513202
Texas,Adults (Over 18),2023,14263,13.879269581,3.469817395,63.185452293,15.796363073,24.347419603,6.086854901,12.466091478,3.116522870,25.592256741,6.398064185,2814,5777,5496,3133,22573234
Utah,Adults (Over 18),2023,2592,18.414236205,4.603559051,105.830820940,26.457705235,38.298344924,9.574586231,17.801789325,4.450447331,36.828472410,9.207118103,436,902,938,451,2449192
Vermont,Adults (Over 18),2023,552,14.465336732,3.616334183,103.699556835,25.924889209,24.234135565,6.058533891,19.161874632,4.790468658,24.046274049,6.011568512,102,128,129,77,532307
Virginia,Adults (Over 18),2023,4769,14.567146698,3.641786674,69.960445722,17.490111431,24.924050594,6.231012648,14.904552915,3.726138229,25.906929576,6.476732394,1016,1766,1699,993,6816709
Washington,Adults (Over 18),2023,5932,16.793683490,4.198420873,96.624762816,24.156190704,25.785063981,6.446265995,17.298634206,4.324658552,25.980528775,6.495132194,1062,1595,1583,1031,6139213
West Virginia,Adults (Over 18),2023,1266,23.116367372,5.779091843,88.952343747,22.238085937,28.175268438,7.043817109,23.186629887,5.796657472,31.126294060,7.781573515,330,443,401,329,1423234
Wisconsin,Adults (Over 18),2023,3463,15.838481916,3.959620479,74.522639776,18.630659944,24.037478669,6.009369667,14.009309412,3.502327353,23.133652255,5.783413064,651,1075,1117,736,4646910
Wyoming,Adults (Over 18),2023,408,16.398274192,4.099568548,90.412106358,22.603026590,25.705402788,6.426350697,18.614257191,4.653564298,27.921385787,6.980346447,84,126,116,74,451267
