State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Alabama,Adults (Over 18),2021,3098,34.919115536,8.729778884,79.078523340,19.769630835,38.977696946,9.744424237,23.253884688,5.813471172,42.091828595,10.522957149,911,1649,1527,1368,3917625
Alaska,Adults (Over 18),2021,815,57.110119516,14.277529879,147.293504447,36.823376112,82.231342973,20.557835743,46.808610616,11.702152654,73.737116337,18.434279084,259,408,455,316,553317
Arizona,Adults (Over 18),2021,4506,29.758078303,7.439519576,79.578576162,19.894644040,39.524379372,9.881094843,24.018389609,6.004597402,41.166813367,10.291703342,1360,2331,2238,1685,5662328
Arkansas,Adults (Over 18),2021,2272,39.397167365,9.849291841,97.825534704,24.456383676,37.761000852,9.440250213,39.009654244,9.752413561,42.195873244,10.548968311,906,980,877,915,2322502
California,Adults (Over 18),2021,17684,20.469253366,5.117313342,58.046548513,14.511637128,29.742127125,7.435531781,16.937355255,4.234338814,30.513498924,7.628374731,5160,9296,9061,6236,30465205
Colorado,Adults (Over 18),2021,4439,30.709539197,7.677384799,97.162968279,24.290742070,38.545615485,9.636403871,25.828407878,6.457101969,39.049050554,9.762262639,1180,1784,1761,1403,4568613
Connecticut,Adults (Over 18),2021,1829,21.906284913,5.476571228,63.597770010,15.899442502,28.512942268,7.128235567,19.437481375,4.859370344,28.373854745,7.093463686,559,816,820,630,2875887
Delaware,Adults (Over 18),2021,620,25.154385038,6.288596260,77.978593618,19.494648405,39.618156435,9.904539109,25.405928889,6.351482222,40.498559911,10.124639978,202,322,315,200,795090
District of Columbia,Adults (Over 18),2021,450,19.661347078,4.915336769,82.687908272,20.671977068,38.403939619,9.600984905,22.233859780,5.558464945,36.933932361,9.233483090,121,201,209,107,544215
Florida,Adults (Over 18),2021,9617,20.512412411,5.128103103,54.979896921,13.744974230,25.789156183,6.447289046,17.602485455,4.400621364,29.013515324,7.253378831,3079,5075,4511,3588,17491848
