State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Georgia,Adults (Over 18),2021,5312,24.736370948,6.184092737,64.191305558,16.047826390,31.322263556,7.830565889,20.204793466,5.051198367,34.198304731,8.549576183,1672,2830,2592,2047,8275264
Hawaii,Adults (Over 18),2021,679,17.851583866,4.462895967,59.710470174,14.927617543,43.002091186,10.750522796,17.060134335,4.265033584,38.868965857,9.717241464,194,442,489,203,1137154
Idaho,Adults (Over 18),2021,1228,30.868142052,7.717035513,85.760358462,21.440089615,36.734485791,9.183621448,26.468384248,6.617096062,39.039120831,9.759780208,379,559,526,442,1431897
Illinois,Adults (Over 18),2021,6112,21.564118037,5.391029509,61.936038272,15.484009568,29.002117398,7.250529349,19.659017384,4.914754346,30.937618594,7.734404648,1940,3053,2862,2128,9868245
Indiana,Adults (Over 18),2021,5061,36.156497277,9.039124319,96.972990311,24.243247578,46.177614434,11.544403608,31.059714937,7.764928734,49.607404054,12.401851013,1621,2589,2410,1887,5218979
Iowa,Adults (Over 18),2021,1988,30.284491043,7.571122761,80.921462627,20.230365657,33.581592891,8.395398223,25.888355247,6.472088812,35.861070711,8.965267678,636,881,825,744,2456703
Kansas,Adults (Over 18),2021,2023,32.220219599,8.055054900,90.655777816,22.663944454,38.718038573,9.679509643,29.352216742,7.338054186,40.465727814,10.116431953,655,903,864,719,2231518
Kentucky,Adults (Over 18),2021,3083,34.063435850,8.515858962,88.250061114,22.062515278,35.351548970,8.837887243,28.996857576,7.249214394,40.532626188,10.133156547,1013,1416,1235,1190,3493482
Louisiana,Adults (Over 18),2021,1997,22.845982496,5.711495624,56.394841835,14.098710459,25.415802529,6.353950632,18.242898260,4.560724565,29.171693348,7.292923337,646,1033,900,809,3541104
Maine,Adults (Over 18),2021,1084,35.792769682,8.948192421,96.756514552,24.189128638,34.096852914,8.524213229,25.706527851,6.426631963,37.310168895,9.327542224,288,418,382,401,1120338
Maryland,Adults (Over 18),2021,2751,18.263889250,4.565972313,57.290717592,14.322679398,26.594055385,6.648513846,15.889791902,3.972447976,27.322944922,6.830736230,763,1312,1277,877,4801825
Massachusetts,Adults (Over 18),2021,3604,20.364280518,5.091070130,64.098573789,16.024643447,25.504260492,6.376065123,18.176676585,4.544169146,26.215676405,6.553919101,1022,1474,1434,1145,5622590
Michigan,Adults (Over 18),2021,5654,26.287025960,6.571756490,71.592892474,17.898223119,30.275664292,7.568916073,22.235075908,5.558768977,32.162353535,8.040588384,1756,2540,2391,2076,7897432
Minnesota,Adults (Over 18),2021,3317,23.964519754,5.991129938,75.561133103,18.890283276,30.137889386,7.534472347,23.417800672,5.854450168,29.067231184,7.266807796,1028,1276,1323,1052,4389823
Mississippi,Adults (Over 18),2021,1559,27.069774448,6.767443612,69.070013690,17.267503422,33.671077873,8.417769468,25.341916505,6.335479126,39.076171953,9.769042988,572,882,760,611,2257130
Missouri,Adults (Over 18),2021,4078,30.604373666,7.651093417,85.249068176,21.312267044,31.252417097,7.813104274,27.280538001,6.820134500,34.973440672,8.743360168,1305,1673,1495,1464,4783630
Montana,Adults (Over 18),2021,850,30.142625239,7.535656310,97.790959743,24.447739936,32.788733561,8.197183390,27.266420540,6.816605135,32.443588997,8.110897249,237,282,285,262,869201
Nebraska,Adults (Over 18),2021,1206,26.539564886,6.634891222,81.442023544,20.360505886,32.347205039,8.086801260,24.446113203,6.111528301,35.115963717,8.778990929,362,520,479,393,1480808
Nevada,Adults (Over 18),2021,1734,24.701021534,6.175255384,70.913197584,17.728299396,37.664968267,9.416242067,20.406969778,5.101742444,38.605570080,9.651392520,499,944,921,604,2445243
New Hampshire,Adults (Over 18),2021,876,24.456656095,6.114164024,77.343071262,19.335767815,29.400962021,7.350240505,24.103491386,6.025872847,28.871214957,7.217803739,273,327,333,277,1132616
New Jersey,Adults (Over 18),2021,3427,16.772496750,4.193124187,47.308104001,11.827026000,24.668684520,6.167171130,13.666478833,3.416619708,25.966309783,6.491577446,990,1881,1787,1215,7244002
New Mexico,Adults (Over 18),2021,1111,23.681160267,5.920290067,67.634367756,16.908591939,33.056221144,8.264055286,23.681160267,5.920290067,32.264819901,8.066204975,389,530,543,389,1642656
New York,Adults (Over 18),2021,8834,18.762811979,4.690702995,56.186671534,14.046667884,27.101132829,6.775283207,16.600318395,4.150079599,28.207820722,7.051955180,2610,4435,4261,2950,15722590
North Carolina,Adults (Over 18),2021,5148,22.716090447,5.679022612,62.402579307,15.600644827,27.479923716,6.869980929,19.867487856,4.966871964,29.467884673,7.366971168,1639,2431,2267,1874,8249659
North Dakota,Adults (Over 18),2021,466,25.625925970,6.406481492,79.083983457,19.770995864,36.147829348,9.036957337,29.020088350,7.255022088,38.863159252,9.715789813,171,229,213,151,589247
Ohio,Adults (Over 18),2021,7292,29.418856059,7.354714015,79.482140934,19.870535234,34.356515116,8.589128779,28.023667628,7.005916907,36.122300474,9.030575118,2571,3314,3152,2699,9174388
Oklahoma,Adults (Over 18),2021,3052,38.676292325,9.669073081,100.888926647,25.222231662,38.775462306,9.693865576,31.932733663,7.983183416,43.700904662,10.925226165,966,1322,1173,1170,3025109
Oregon,Adults (Over 18),2021,3653,31.641418528,7.910354632,107.923531170,26.980882793,33.266327976,8.316581994,27.209847306,6.802461826,35.866183094,8.966545773,921,1214,1126,1071,3384804
Pennsylvania,Adults (Over 18),2021,6961,22.973656000,5.743414000,67.647893153,16.911973288,30.213661803,7.553415451,21.700581154,5.425145288,31.651944836,7.912986209,2233,3257,3109,2364,10290047
Rhode Island,Adults (Over 18),2021,524,19.847020071,4.961755018,59.089991576,14.772497894,23.568336335,5.892084084,17.929978360,4.482494590,22.327897580,5.581974395,159,198,209,176,886783
South Carolina,Adults (Over 18),2021,2755,24.744618598,6.186154649,67.630381187,16.907595297,31.421737902,7.855434475,20.105002611,5.026250653,34.367525830,8.591881458,819,1400,1280,1008,4073613
South Dakota,Adults (Over 18),2021,538,26.965080221,6.741270055,79.709962412,19.927490603,33.187791041,8.296947760,27.261399784,6.815349946,34.669388856,8.667347214,184,234,224,182,674947
Tennessee,Adults (Over 18),2021,4781,31.575786303,7.893946576,87.974262422,21.993565606,37.040826240,9.260206560,28.999673202,7.249918300,43.701918689,10.925479672,1576,2375,2013,1716,5434544
Texas,Adults (Over 18),2021,13974,23.013255454,5.753313863,63.366942209,15.841735552,32.118795740,8.029698935,19.634954899,4.908738725,35.438146083,8.859536521,4330,7815,7083,5075,22052508
Utah,Adults (Over 18),2021,2380,34.006321077,8.501580269,99.551099831,24.887774958,48.437047733,12.109261933,30.492752847,7.623188212,48.604360505,12.151090126,729,1162,1158,813,2390732
Vermont,Adults (Over 18),2021,447,22.512552167,5.628138042,84.563956458,21.140989115,29.701434371,7.425358593,21.755827724,5.438956931,28.187985486,7.046996372,115,149,157,119,528594
Virginia,Adults (Over 18),2021,4814,25.616179362,6.404044841,71.239911872,17.809977968,32.349490518,8.087372629,22.804467012,5.701116753,34.880031633,8.720007908,1541,2357,2186,1731,6757448
Washington,Adults (Over 18),2021,5404,28.304827821,7.076206955,89.137115118,22.284278779,34.110946348,8.527736587,25.550220451,6.387555113,35.265572191,8.816393048,1549,2138,2068,1716,6062570
West Virginia,Adults (Over 18),2021,1278,37.712580973,9.428145243,89.751729020,22.437932255,40.030113882,10.007528471,32.305004186,8.076251046,42.558331601,10.639582900,460,606,570,537,1423928
Wisconsin,Adults (Over 18),2021,3320,24.690813027,6.172703257,71.843557624,17.960889406,32.394519808,8.098629952,21.834382422,5.458595606,33.519780349,8.379945087,1009,1549,1497,1141,4621152
Wyoming,Adults (Over 18),2021,459,32.259582104,8.064895526,102.827417956,25.706854489,48.837422907,12.209355727,30.019333347,7.504833337,48.837422907,12.209355727,134,218,218,144,446379
