State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Georgia,Adults (Over 18),2022,6348,21.980891263,5.495222816,75.546669050,18.886667263,33.465222648,8.366305662,20.386175816,5.096543954,35.976304433,8.994076108,1713,3023,2812,1847,8402753
Hawaii,Adults (Over 18),2022,763,15.049830689,3.762457672,66.761748930,16.690437233,37.449578692,9.362394673,19.162284424,4.790571106,36.399590505,9.099897626,219,416,428,172,1142870
Idaho,Adults (Over 18),2022,1518,26.700478237,6.675119559,102.871385694,25.717846423,38.220989151,9.555247288,24.735214610,6.183803653,40.796162179,10.199040545,365,602,564,394,1475629
Illinois,Adults (Over 18),2022,7332,19.032841640,4.758210410,74.346720779,18.586680195,32.448105086,8.112026272,19.174802100,4.793700525,33.898129782,8.474532446,1891,3343,3200,1877,9861901
Indiana,Adults (Over 18),2022,5803,30.153251478,7.538312870,110.257919551,27.564479888,42.674355904,10.668588976,31.217260352,7.804315088,45.486379356,11.371594839,1643,2394,2246,1587,5263114
Iowa,Adults (Over 18),2022,2555,26.615207906,6.653801976,103.189463124,25.797365781,34.652273722,8.663068431,26.574820640,6.643705160,35.863891685,8.965972921,658,888,858,659,2476028
Kansas,Adults (Over 18),2022,2279,26.576824831,6.644206208,101.454914220,25.363728555,38.329390585,9.582347646,25.775513529,6.443878382,41.044945551,10.261236388,579,922,861,597,2246318
Kentucky,Adults (Over 18),2022,3757,31.074183198,7.768545799,107.106152546,26.776538136,35.721056465,8.930264116,32.328553896,8.082138474,40.168370758,10.042092689,1134,1409,1253,1090,3507735
Louisiana,Adults (Over 18),2022,2395,21.226861587,5.306715397,67.874944595,16.968736149,26.214748956,6.553687239,17.996070905,4.499017726,30.324087982,7.581021995,635,1070,925,749,3528548
Maine,Adults (Over 18),2022,1302,31.386215737,7.846553934,114.467375040,28.616843760,31.913715161,7.978428790,27.342053485,6.835513371,32.529131156,8.132282789,311,370,363,357,1137442
Maryland,Adults (Over 18),2022,3191,16.583400286,4.145850072,66.229825173,16.557456293,27.770450041,6.942612510,16.853217813,4.213304453,28.995006508,7.248751627,812,1397,1338,799,4818071
Massachusetts,Adults (Over 18),2022,3960,17.840249161,4.460062290,70.156292630,17.539073157,27.814489755,6.953622439,16.440666556,4.110166639,27.247570218,6.811892555,928,1538,1570,1007,5644540
Michigan,Adults (Over 18),2022,6929,22.992224792,5.748056198,87.438598014,21.859649504,32.873076610,8.218269152,22.651505764,5.662876441,35.485255826,8.871313956,1795,2812,2605,1822,7924418
Minnesota,Adults (Over 18),2022,4075,20.031553087,5.007888272,92.131578816,23.032894704,31.403868215,7.850967054,26.226412620,6.556603155,31.856047743,7.964011936,1160,1409,1389,886,4423022
Mississippi,Adults (Over 18),2022,2297,27.718881908,6.929720477,101.547482843,25.386870711,45.844466568,11.461116642,38.550023961,9.637505990,55.570390045,13.892597511,872,1257,1037,627,2261996
Missouri,Adults (Over 18),2022,4826,26.490484514,6.622621129,100.269080992,25.067270248,32.308002682,8.077000670,25.077658673,6.269414668,35.902397836,8.975599459,1207,1728,1555,1275,4813049
Montana,Adults (Over 18),2022,916,25.755977299,6.438994325,103.023909195,25.755977299,33.966398010,8.491599502,29.692480379,7.423120095,37.228071991,9.307017998,264,331,302,229,889114
Nebraska,Adults (Over 18),2022,1444,23.000899919,5.750224980,96.831776917,24.207944229,37.016025525,9.254006381,23.537364057,5.884341014,36.881909490,9.220477373,351,550,552,343,1491246
Nevada,Adults (Over 18),2022,1920,20.619020785,5.154755196,77.170604109,19.292651027,37.178546251,9.294636563,19.734774280,4.933693570,37.861827641,9.465456910,491,942,925,513,2487994
New Hampshire,Adults (Over 18),2022,1055,20.747487322,5.186871830,92.356958331,23.089239583,28.888906397,7.222226599,21.622908728,5.405727182,31.252544193,7.813136048,247,357,330,237,1142307
New Jersey,Adults (Over 18),2022,4054,14.034913912,3.508728478,55.781902942,13.945475735,26.762654470,6.690663618,13.498284851,3.374571213,27.629516800,6.907379200,981,2008,1945,1020,7267590
New Mexico,Adults (Over 18),2022,1305,20.255999555,5.063999889,78.907699759,19.726924940,31.200285882,7.800071470,19.349014500,4.837253625,30.293300827,7.573325207,320,501,516,335,1653831
New York,Adults (Over 18),2022,9838,15.731906889,3.932976722,62.710899502,15.677724876,28.977815525,7.244453881,15.311199492,3.827799873,29.793732900,7.448433225,2402,4674,4546,2468,15687863
North Carolina,Adults (Over 18),2022,6520,20.335327044,5.083831761,77.581236002,19.395309001,31.318069503,7.829517376,21.917889067,5.479472267,33.447983804,8.361995951,1842,2811,2632,1709,8404094
North Dakota,Adults (Over 18),2022,555,22.129605724,5.532401431,93.044933159,23.261233290,33.026760058,8.256690015,23.470793950,5.867698487,38.391512961,9.597878240,140,229,197,132,596486
Ohio,Adults (Over 18),2022,8664,25.626779245,6.406694811,94.240413996,23.560103499,37.124022734,9.281005684,27.236610878,6.809152720,38.461923349,9.615480837,2504,3536,3413,2356,9193508
Oklahoma,Adults (Over 18),2022,3909,35.706669223,8.926667306,127.467917802,31.866979451,39.619728864,9.904932216,34.043618876,8.510904719,45.456709495,11.364177374,1044,1394,1215,1095,3066654
Oregon,Adults (Over 18),2022,4171,26.857478177,6.714369544,122.562955663,30.640738916,37.318377773,9.329594443,27.092554572,6.773138643,39.551603530,9.887900882,922,1346,1270,914,3403149
Pennsylvania,Adults (Over 18),2022,8373,21.367391273,5.341847818,80.917759897,20.229439974,32.529461342,8.132365335,21.628322782,5.407080695,34.046729741,8.511682435,2238,3523,3366,2211,10347543
Rhode Island,Adults (Over 18),2022,594,16.744922018,4.186230505,66.754924019,16.688731005,25.847866202,6.461966551,15.958247829,3.989561957,27.196450526,6.799112632,142,242,230,149,889822
South Carolina,Adults (Over 18),2022,3292,22.738394175,5.684598544,79.044132654,19.761033163,32.678938196,8.169734549,20.817516103,5.204379026,35.224101641,8.806025410,867,1467,1361,947,4164762
South Dakota,Adults (Over 18),2022,653,27.509957881,6.877489470,94.547381559,23.636845390,33.591106465,8.397776616,29.681796661,7.420449165,34.315052725,8.578763181,205,237,232,190,690659
Tennessee,Adults (Over 18),2022,5772,28.277578075,7.069394519,104.694150514,26.173537628,39.287513862,9.821878466,28.023642159,7.005910540,45.236869609,11.309217402,1545,2494,2166,1559,5513202
Texas,Adults (Over 18),2022,16673,20.843269511,5.210817378,73.861813509,18.465453377,33.557442412,8.389360603,19.656022704,4.914005676,36.977422021,9.244355505,4437,8347,7575,4705,22573234
Utah,Adults (Over 18),2022,3171,29.969067350,7.492266837,129.471270525,32.367817631,51.486367749,12.871591937,31.071471734,7.767867934,52.384623174,13.096155793,761,1283,1261,734,2449192
Vermont,Adults (Over 18),2022,546,24.609858597,6.152464649,102.572387739,25.643096935,33.063626817,8.265906704,21.416212825,5.354053206,30.809288625,7.702322156,114,164,176,131,532307
Virginia,Adults (Over 18),2022,5586,21.021874338,5.255468585,81.945701364,20.486425341,34.415434193,8.603858548,21.432629734,5.358157433,36.410531827,9.102632957,1461,2482,2346,1433,6816709
Washington,Adults (Over 18),2022,6369,22.185254038,5.546313510,103.742939038,25.935734759,34.792733205,8.698183301,24.351655497,6.087913874,35.427993784,8.856998446,1495,2175,2136,1362,6139213
West Virginia,Adults (Over 18),2022,1536,32.320756812,8.080189203,107.923222745,26.980805686,39.065958233,9.766489558,36.114932611,9.028733153,44.476171873,11.119042968,514,633,556,460,1423234
Wisconsin,Adults (Over 18),2022,4120,21.132322339,5.283080585,88.661067247,22.165266812,32.882065717,8.220516429,21.239920722,5.309980180,34.237805337,8.559451334,987,1591,1528,982,4646910
Wyoming,Adults (Over 18),2022,487,27.699787487,6.924946872,107.918372050,26.979593013,40.552488881,10.138122220,29.694172186,7.423543047,41.660480381,10.415120095,134,188,183,125,451267
