State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Alabama,Adults (Over 18),2022,3415,26.446387772,6.611596943,86.177876183,21.544469046,36.313312980,9.078328245,24.074288105,6.018572026,39.644346555,9.911086639,954,1571,1439,1048,3962734
Alaska,Adults (Over 18),2022,784,38.954511184,9.738627796,140.738879115,35.184719779,62.111801242,15.527950311,37.518400172,9.379600043,61.034717984,15.258679496,209,340,346,217,557060
Arizona,Adults (Over 18),2022,4728,24.002688301,6.000672075,81.938418980,20.484604745,37.867056995,9.466764249,21.819050232,5.454762558,38.993536951,9.748384238,1259,2250,2185,1385,5770187
Arkansas,Adults (Over 18),2022,2529,31.594392719,7.898598180,107.684931519,26.921232880,39.769761186,9.942440296,35.596916864,8.899229216,44.410985992,11.102746498,836,1043,934,742,2348518
California,Adults (Over 18),2022,20486,16.872348236,4.218087059,67.115907954,16.778976989,32.286794537,8.071698634,16.960805207,4.240201302,33.204126092,8.301031523,5177,10135,9855,5150,30523315
Colorado,Adults (Over 18),2022,5647,27.052444765,6.763111191,122.114432923,30.528608231,42.557323179,10.639330795,30.058271961,7.514567990,43.184438205,10.796109551,1390,1997,1968,1251,4624351
Connecticut,Adults (Over 18),2022,2219,18.997124526,4.749281132,76.644762406,19.161190602,29.566433808,7.391608452,19.031664753,4.757916188,30.326318789,7.581579697,551,878,856,550,2895175
Delaware,Adults (Over 18),2022,731,28.755882306,7.188970576,90.216952642,22.554238160,37.024741166,9.256185292,26.287566228,6.571891557,37.024741166,9.256185292,213,300,300,233,810269
District of Columbia,Adults (Over 18),2022,531,17.174345182,4.293586296,97.016779701,24.254194925,40.926099158,10.231524790,19.184108980,4.796027245,38.185512161,9.546378040,105,209,224,94,547328
Florida,Adults (Over 18),2022,11290,17.828818714,4.457204679,62.902301026,15.725575257,27.545524914,6.886381228,17.037664884,4.259416221,30.409278920,7.602319730,3058,5458,4944,3200,17948469
