State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Alabama,Youth (Under 18),2023,1168,35.085762198,8.771440549,105.077359607,26.269339902,93.831923006,23.457980751,18.262589041,4.565647260,76.828822864,19.207205716,203,854,1043,390,1111562
Alaska,Youth (Under 18),2023,363,60.048832164,15.012208041,205.638925239,51.409731310,180.146496491,45.036624123,37.388895498,9.347223875,143.324099409,35.831024852,66,253,318,106,176523
Arizona,Youth (Under 18),2023,1892,37.570562803,9.392640701,119.067847276,29.766961819,108.872820184,27.218205046,21.711631771,5.427907943,87.601714275,21.900428569,345,1392,1730,597,1589010
Arkansas,Youth (Under 18),2023,919,40.021861404,10.005465351,131.828281828,32.957070457,94.245028467,23.561257117,24.672975489,6.168243872,80.760960467,20.190240117,172,563,657,279,697119
California,Youth (Under 18),2023,7577,28.038942270,7.009735567,89.078014918,22.269503730,99.247274903,24.811818726,16.564725224,4.141181306,75.887367863,18.971841966,1409,6455,8442,2385,8506027
Colorado,Youth (Under 18),2023,1935,42.942640314,10.735660079,159.183925303,39.795981326,130.308701643,32.577175411,25.749131070,6.437282767,107.274335191,26.818583798,313,1304,1584,522,1215575
Connecticut,Youth (Under 18),2023,825,38.438914956,9.609728739,112.854465617,28.213616404,107.519527242,26.879881811,21.613340082,5.403335020,89.052432869,22.263108217,158,651,786,281,731030
Delaware,Youth (Under 18),2023,360,51.410917373,12.852729343,172.971310786,43.242827697,135.494193449,33.873548362,28.828551798,7.207137949,108.107069241,27.026767310,60,225,282,107,208127
District of Columbia,Youth (Under 18),2023,106,25.707973489,6.426993372,85.157662181,21.289415545,98.011648925,24.502912231,20.084354288,5.021088572,69.893552922,17.473388231,25,87,122,32,124475
Florida,Youth (Under 18),2023,3965,31.282338467,7.820584617,92.287553586,23.071888397,91.309980509,22.827495127,15.268760442,3.817190110,71.874896715,17.968724179,656,3088,3923,1344,4296354
Georgia,Youth (Under 18),2023,2392,31.114013138,7.778503285,95.294134989,23.823533747,90.792363561,22.698090890,19.003052838,4.750763210,70.155924630,17.538981157,477,1761,2279,781,2510123
Hawaii,Youth (Under 18),2023,341,32.960454182,8.240113545,114.688927305,28.672231826,132.178147892,33.044536973,16.816558256,4.204139564,107.962304003,26.990576001,50,321,393,98,297326
Idaho,Youth (Under 18),2023,660,36.900846777,9.225211694,142.424320895,35.606080224,127.534505529,31.883626382,20.932059283,5.233014821,107.034035097,26.758508774,97,496,591,171,463404
Illinois,Youth (Under 18),2023,2640,26.469313426,6.617328357,97.054149230,24.263537308,86.797290278,21.699322569,16.837424374,4.209356094,70.621598739,17.655399685,458,1921,2361,720,2720131
Indiana,Youth (Under 18),2023,2085,40.511541012,10.127885253,132.809061336,33.202265334,99.813812525,24.953453131,26.561812267,6.640453067,85.163412473,21.290853118,417,1337,1567,636,1569923
Iowa,Youth (Under 18),2023,1011,31.056372146,7.764093037,139.546632178,34.886658044,111.112798124,27.778199531,25.673267641,6.418316910,87.233898651,21.808474663,186,632,805,225,724489
