State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Kansas,Youth (Under 18),2023,908,31.990411562,7.997602890,131.435718091,32.858929523,94.089445770,23.522361442,23.305231952,5.826307988,74.258285661,18.564571415,161,513,650,221,690832
Kentucky,Youth (Under 18),2023,1379,32.849712565,8.212428141,137.271980688,34.317995172,94.567354354,23.641838588,23.990244631,5.997561158,78.341587238,19.585396810,241,787,950,330,1004575
Louisiana,Youth (Under 18),2023,819,22.699593950,5.674898488,77.140943757,19.285235939,63.200944152,15.800236038,15.823783335,3.955945834,51.615674211,12.903918553,168,548,671,241,1061693
Maine,Youth (Under 18),2023,419,45.583264084,11.395816021,169.021129658,42.255282415,131.909091643,32.977272911,38.725604886,9.681401221,111.739505764,27.934876441,96,277,327,113,247898
Maryland,Youth (Under 18),2023,1393,32.081058140,8.020264535,103.446560161,25.861640040,105.822934838,26.455733709,18.862473999,4.715618500,79.014458012,19.753614503,254,1064,1425,432,1346589
Massachusetts,Youth (Under 18),2023,1490,28.786467220,7.196616805,111.407366644,27.851841661,103.107891679,25.776972920,18.767281227,4.691820307,82.620899424,20.655224856,251,1105,1379,385,1337434
Michigan,Youth (Under 18),2023,2682,32.326947734,8.081736934,127.127380972,31.781845243,98.165848618,24.541462154,22.278101811,5.569525453,79.537563487,19.884390872,470,1678,2071,682,2109695
Minnesota,Youth (Under 18),2023,1678,31.680732397,7.920183099,129.659192589,32.414798147,107.250869675,26.812717419,23.258293784,5.814573446,84.997086918,21.249271730,301,1100,1388,410,1294162
Mississippi,Youth (Under 18),2023,574,20.794589277,5.198647319,84.653150675,21.163287669,71.380008583,17.845002146,15.190373727,3.797593432,56.632072926,14.158018231,103,384,484,141,678061
Missouri,Youth (Under 18),2023,1777,37.218625724,9.304656431,130.191925024,32.547981256,91.507999074,22.876999768,23.591333628,5.897833407,77.221321877,19.305330469,322,1054,1249,508,1364908
Montana,Youth (Under 18),2023,317,38.929981647,9.732495412,135.613232771,33.903308193,105.667093043,26.416773261,25.240317771,6.310079443,87.271607209,21.817901802,59,204,247,91,233753
Nebraska,Youth (Under 18),2023,554,35.663562538,8.915890635,116.221256742,29.055314185,90.627405979,22.656851495,23.915565467,5.978891367,74.893481330,18.723370333,114,357,432,170,476677
Nevada,Youth (Under 18),2023,712,31.604371261,7.901092815,103.221616230,25.805404058,95.248036325,23.812009081,15.947159811,3.986789953,76.981289632,19.245322408,110,531,657,218,689778
New Hampshire,Youth (Under 18),2023,392,35.583811738,8.895952934,154.987268903,38.746817226,101.611551296,25.402887824,22.931789787,5.732947447,86.982650915,21.745662729,58,220,257,90,252924
New Jersey,Youth (Under 18),2023,1558,20.460265713,5.115066428,78.130132305,19.532533076,81.038699489,20.259674872,12.687370650,3.171842663,61.380797138,15.345199284,253,1224,1616,408,1994109
New Mexico,Youth (Under 18),2023,468,27.855577535,6.963894384,101.846955364,25.461738841,84.872462803,21.218115701,18.933087856,4.733271964,66.809861745,16.702465436,87,307,390,128,459513
New York,Youth (Under 18),2023,3693,26.420754781,6.605188695,92.572910254,23.143227563,94.753750544,23.688437636,15.692023238,3.923005810,74.674979595,18.668744899,626,2979,3780,1054,3989288
North Carolina,Youth (Under 18),2023,2301,29.326164909,7.331541227,100.266724302,25.066681076,87.063413801,21.765853450,16.645757794,4.161439448,68.195316616,17.048829154,382,1565,1998,673,2294879
North Dakota,Youth (Under 18),2023,231,36.657092053,9.164273013,126.384899467,31.596224867,100.670222952,25.167555738,28.450280399,7.112570100,88.633565860,22.158391465,52,162,184,67,182775
Ohio,Youth (Under 18),2023,3340,33.287155373,8.321788843,130.338920216,32.584730054,100.798033209,25.199508302,21.775184874,5.443796219,81.130124290,20.282531073,558,2079,2583,853,2562550
Oklahoma,Youth (Under 18),2023,1190,31.894379245,7.973594811,124.849708229,31.212427057,80.575273882,20.143818471,21.192975683,5.298243921,65.362494308,16.340623577,202,623,768,304,953146
Oregon,Youth (Under 18),2023,1392,44.564557676,11.141139419,166.310628109,41.577657027,125.330351212,31.332587803,26.523677759,6.630919440,102.629906283,25.657476571,222,859,1049,373,836988
Pennsylvania,Youth (Under 18),2023,2852,31.892214223,7.973053556,108.669766981,27.167441745,83.559887444,20.889971861,19.851665006,4.962916252,67.061286777,16.765321694,521,1760,2193,837,2624465
Rhode Island,Youth (Under 18),2023,214,21.577935580,5.394483895,104.947232139,26.236808035,93.667856723,23.416964181,20.106712700,5.026678175,73.561144023,18.390286006,41,150,191,44,203912
South Carolina,Youth (Under 18),2023,1172,31.488399387,7.872099847,104.842057051,26.210514263,87.577110796,21.894277699,15.833655374,3.958413843,69.059785020,17.264946255,177,772,979,352,1117872
South Dakota,Youth (Under 18),2023,270,30.114297447,7.528574362,123.194853193,30.798713298,97.643328086,24.410832022,29.201742979,7.300435745,82.129902129,20.532475532,64,180,214,66,219165
Tennessee,Youth (Under 18),2023,1475,28.280965870,7.070241467,95.895229099,23.973807275,77.041251852,19.260312963,16.058387517,4.014596879,62.868262060,15.717065515,247,967,1185,435,1538137
Texas,Youth (Under 18),2023,6511,27.949376758,6.987344190,87.321685256,21.830421314,82.614280629,20.653570157,16.294862170,4.073715542,65.300151361,16.325037840,1215,4869,6160,2084,7456338
Utah,Youth (Under 18),2023,1022,33.061115834,8.265278959,109.702793450,27.425698362,91.240092399,22.810023100,19.858137758,4.964534439,75.997629904,18.999407476,185,708,850,308,931608
Vermont,Youth (Under 18),2023,185,46.184546476,11.546136619,161.210209399,40.302552350,121.125508684,30.281377171,31.370635343,7.842658836,97.597532177,24.399383044,36,112,139,53,114757
Virginia,Youth (Under 18),2023,2040,31.656587623,7.914146906,109.271469969,27.317867492,99.522740786,24.880685196,20.247360612,5.061840153,78.846864605,19.711716151,378,1472,1858,591,1866910
Washington,Youth (Under 18),2023,2257,39.658126302,9.914531576,137.072574371,34.268143593,115.573375733,28.893343933,23.260432425,5.815108106,89.944387525,22.486096881,383,1481,1903,653,1646573
West Virginia,Youth (Under 18),2023,452,42.338927376,10.584731844,128.437551503,32.109387876,90.645086127,22.661271532,25.005541001,6.251385250,77.858161752,19.464540438,88,274,319,149,351922
Wisconsin,Youth (Under 18),2023,1602,33.396781867,8.349195467,128.609722478,32.152430619,98.343888911,24.585972228,21.354673021,5.338668255,79.799041288,19.949760322,266,994,1225,416,1245629
Wyoming,Youth (Under 18),2023,186,32.279385769,8.069846442,142.951565550,35.737891388,103.755168545,25.938792136,26.899488141,6.724872035,92.995373288,23.248843322,35,121,135,42,130114
