State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Alabama,Youth (Under 18),2022,1571,46.331198800,11.582799700,141.332647212,35.333161803,118.212029558,29.553007390,27.798719280,6.949679820,94.371703963,23.592925991,309,1049,1314,515,1111562
Alaska,Youth (Under 18),2022,431,73.644794163,18.411198541,244.160817571,61.040204393,199.407442656,49.851860664,47.019368581,11.754842145,151.255077242,37.813769311,83,267,352,130,176523
Arizona,Youth (Under 18),2022,2262,45.940554182,11.485138545,142.352785697,35.588196424,122.780850970,30.695212743,26.179822657,6.544955664,101.572677327,25.393169332,416,1614,1951,730,1589010
Arkansas,Youth (Under 18),2022,1153,50.636978765,12.659244691,165.395004296,41.348751074,115.762158254,28.940539564,34.140512595,8.535128149,98.548454425,24.637113606,238,687,807,353,697119
California,Youth (Under 18),2022,8763,34.787098607,8.696774652,103.021069649,25.755267412,112.061718121,28.015429530,22.125488198,5.531372049,87.526174088,21.881543522,1882,7445,9532,2959,8506027
Colorado,Youth (Under 18),2022,2311,54.459823540,13.614955885,190.115788824,47.528947206,138.699792279,34.674948070,37.101783107,9.275445777,117.722065689,29.430516422,451,1431,1686,662,1215575
Connecticut,Youth (Under 18),2022,1015,40.764400914,10.191100228,138.845191032,34.711297758,124.071515533,31.017878883,29.820937581,7.455234395,100.406276076,25.101569019,218,734,907,298,731030
Delaware,Youth (Under 18),2022,407,57.657103595,14.414275899,195.553676361,48.888419090,159.037510751,39.759377688,38.918544927,9.729636232,121.560393414,30.390098353,81,253,331,120,208127
District of Columbia,Youth (Under 18),2022,111,36.955211890,9.238802972,89.174533039,22.293633260,114.079132356,28.519783089,19.280980116,4.820245029,82.747539667,20.686884917,24,103,142,46,124475
Florida,Youth (Under 18),2022,5016,42.152020062,10.538005015,116.750156063,29.187539016,106.276158808,26.569039702,23.042793960,5.760698490,87.469514849,21.867378712,990,3758,4566,1811,4296354
Georgia,Youth (Under 18),2022,2804,37.966266992,9.491566748,111.707673289,27.926918322,110.193803252,27.548450813,24.142243229,6.035560807,87.884139542,21.971034886,606,2206,2766,953,2510123
Hawaii,Youth (Under 18),2022,432,38.341752824,9.585438206,145.295063331,36.323765833,156.730322945,39.182580736,27.915486705,6.978871676,121.751881773,30.437970443,83,362,466,114,297326
Idaho,Youth (Under 18),2022,734,44.237857248,11.059464312,158.393108389,39.598277097,139.403198937,34.850799734,33.016547117,8.254136779,120.844878335,30.211219584,153,560,646,205,463404
Illinois,Youth (Under 18),2022,3084,36.579120638,9.144780159,113.376892510,28.344223127,100.399576344,25.099894086,22.572442283,5.643110571,81.944582816,20.486145704,614,2229,2731,995,2720131
Indiana,Youth (Under 18),2022,2489,47.900438429,11.975109607,158.542807513,39.635701878,117.139503020,29.284875755,36.753394912,9.188348728,98.476167302,24.619041826,577,1546,1839,752,1569923
