State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Iowa,Youth (Under 18),2022,1181,41.546524516,10.386631129,163.011446689,40.752861672,118.014214156,29.503553539,35.059193445,8.764798361,98.690249265,24.672562316,254,715,855,301,724489
Kansas,Youth (Under 18),2022,1057,43.715404035,10.928851009,153.003914121,38.250978530,114.354864859,28.588716215,28.516339718,7.129084929,91.918150867,22.979537717,197,635,790,302,690832
Kentucky,Youth (Under 18),2022,1534,45.491874673,11.372968668,152.701391136,38.175347784,112.684468556,28.171117139,31.754722146,7.938680537,99.046860613,24.761715153,319,995,1132,457,1004575
Louisiana,Youth (Under 18),2022,941,29.387026193,7.346756548,88.632024512,22.158006128,71.866349312,17.966587328,19.591350795,4.897837699,57.737971334,14.434492834,208,613,763,312,1061693
Maine,Youth (Under 18),2022,604,66.156241680,16.539060420,243.648597407,60.912149352,141.590492864,35.397623216,44.776480649,11.194120162,123.034473856,30.758618464,111,305,351,164,247898
Maryland,Youth (Under 18),2022,1639,40.769678053,10.192419513,121.714940490,30.428735123,116.516620884,29.129155221,27.551093912,6.887773478,89.039788681,22.259947170,371,1199,1569,549,1346589
Massachusetts,Youth (Under 18),2022,1745,35.515771246,8.878942811,130.473728049,32.618432012,108.640874989,27.160218747,24.973194939,6.243298735,85.611701213,21.402925303,334,1145,1453,475,1337434
Michigan,Youth (Under 18),2022,3157,42.091392358,10.522848089,149.642483866,37.410620967,109.731501473,27.432875368,28.345329538,7.086332385,93.568027606,23.392006901,598,1974,2315,888,2109695
Minnesota,Youth (Under 18),2022,1991,38.403229271,9.600807318,153.844727322,38.461181830,122.473075241,30.618268810,31.603462318,7.900865579,96.433058612,24.108264653,409,1248,1585,497,1294162
Mississippi,Youth (Under 18),2022,666,31.855541021,7.963885255,98.221251480,24.555312870,81.998522257,20.499630564,21.089547991,5.272386998,63.416123328,15.854030832,143,430,556,216,678061
Missouri,Youth (Under 18),2022,1996,41.467996378,10.366999094,146.236962491,36.559240623,95.977164761,23.994291190,28.793149428,7.198287357,82.203342643,20.550835661,393,1122,1310,566,1364908
Montana,Youth (Under 18),2022,362,47.913823566,11.978455891,154.864322597,38.716080649,108.661707016,27.165426754,23.956911783,5.989227946,93.688637151,23.422159288,56,219,254,112,233753
Nebraska,Youth (Under 18),2022,612,39.439704454,9.859926113,128.388825137,32.097206284,90.417620317,22.604405079,24.544922453,6.136230613,78.669623246,19.667405811,117,375,431,188,476677
Nevada,Youth (Under 18),2022,854,41.317641328,10.329410332,123.807949804,30.951987451,111.340170316,27.835042579,27.980016759,6.995004190,93.798294524,23.449573631,193,647,768,285,689778
New Hampshire,Youth (Under 18),2022,445,45.863579573,11.465894893,175.942180260,43.985545065,112.682070503,28.170517626,35.979187424,8.994796856,98.053170122,24.513292531,91,248,285,116,252924
New Jersey,Youth (Under 18),2022,1714,28.584194746,7.146048686,85.953175077,21.488293769,92.422229678,23.105557419,18.003027919,4.500756980,70.457532662,17.614383166,359,1405,1843,570,1994109
New Mexico,Youth (Under 18),2022,546,35.037093619,8.759273405,118.821447924,29.705361981,93.359709083,23.339927271,19.368331255,4.842082814,79.431920316,19.857980079,89,365,429,161,459513
New York,Youth (Under 18),2022,4244,32.938208522,8.234552131,106.384898759,26.596224690,102.875500591,25.718875148,20.479845025,5.119961256,80.966829169,20.241707292,817,3230,4104,1314,3989288
North Carolina,Youth (Under 18),2022,2664,38.433398885,9.608349721,116.084551735,29.021137934,95.124841005,23.781210251,21.918366938,5.479591734,77.999755107,19.499938777,503,1790,2183,882,2294879
North Dakota,Youth (Under 18),2022,254,44.316782930,11.079195732,138.968677336,34.742169334,108.877034605,27.219258651,28.450280399,7.112570100,88.086445083,22.021611271,52,161,199,81,182775
Ohio,Youth (Under 18),2022,3659,42.691849915,10.672962479,142.787457806,35.696864451,113.051452655,28.262863164,32.584730054,8.146182514,94.085969054,23.521492264,835,2411,2897,1094,2562550
Oklahoma,Youth (Under 18),2022,1430,48.995641801,12.248910450,150.029481318,37.507370329,99.774850862,24.943712716,32.314042130,8.078510532,83.722745519,20.930686380,308,798,951,467,953146
Oregon,Youth (Under 18),2022,1517,47.431982298,11.857995575,181.245131352,45.311282838,127.839347756,31.959836939,29.152150330,7.288037582,104.183094620,26.045773655,244,872,1070,397,836988
Pennsylvania,Youth (Under 18),2022,3392,40.236772066,10.059193016,129.245389060,32.311347265,99.296428034,24.824107008,26.824514711,6.706128678,81.997664286,20.499416071,704,2152,2606,1056,2624465
Rhode Island,Youth (Under 18),2022,261,41.194240653,10.298560163,127.996390600,31.999097650,109.851308408,27.462827102,24.029973714,6.007493429,85.821334693,21.455333673,49,175,224,84,203912
South Carolina,Youth (Under 18),2022,1310,39.718321955,9.929580489,117.186940902,29.296735225,98.132881045,24.533220261,25.137046102,6.284261525,80.778479110,20.194619778,281,903,1097,444,1117872
South Dakota,Youth (Under 18),2022,317,38.327287660,9.581821915,144.639883193,36.159970798,119.088358086,29.772089522,30.570574681,7.642643670,97.187050852,24.296762713,67,213,261,84,219165
Tennessee,Youth (Under 18),2022,1970,42.323928233,10.580982058,128.077017847,32.019254462,89.978981066,22.494745267,24.640197850,6.160049462,73.855579835,18.463894959,379,1136,1384,651,1538137
Texas,Youth (Under 18),2022,7664,34.909898130,8.727474532,102.785040056,25.696260014,94.818662995,23.704665749,21.055912433,5.263978108,77.812996138,19.453249035,1570,5802,7070,2603,7456338
Utah,Youth (Under 18),2022,1102,36.925402100,9.231350525,118.290096264,29.572524066,100.900808065,25.225202016,23.937106594,5.984276649,88.127195129,22.031798782,223,821,940,344,931608
Vermont,Youth (Under 18),2022,208,53.155798775,13.288949694,181.252559757,45.313139939,127.225354445,31.806338611,45.313139939,11.328284985,123.739728295,30.934932074,52,142,146,61,114757
Virginia,Youth (Under 18),2022,2361,40.226898994,10.056724748,126.465657155,31.616414289,109.485727753,27.371431938,25.121725204,6.280431301,85.970935932,21.492733983,469,1605,2044,751,1866910
Washington,Youth (Under 18),2022,2555,42.876932878,10.719233220,155.170769835,38.792692459,120.978541492,30.244635373,31.337814965,7.834453741,102.273024032,25.568256008,516,1684,1992,706,1646573
West Virginia,Youth (Under 18),2022,586,53.136774626,13.284193657,166.514170754,41.628542688,114.514011628,28.628502907,34.950926626,8.737731656,98.317240752,24.579310188,123,346,403,187,351922
Wisconsin,Youth (Under 18),2022,1879,41.103731528,10.275932882,150.847483480,37.711870870,102.598767370,25.649691842,31.871448080,7.967862020,83.170831765,20.792707941,397,1036,1278,512,1245629
Wyoming,Youth (Under 18),2022,258,48.419078654,12.104769664,198.287655441,49.571913860,122.200531841,30.550132960,43.807737830,10.951934457,106.060838957,26.515209739,57,138,159,63,130114
