State,Age Chart,Age1,Percentage Suffix Label %,Formatted Show # or Percent Positive Age,Show # or Percent,Total Population 2021,Positive Severe Depression,Total Depression Responses
Alaska,True,All Ages,,83.7,83.698777098,733583,614,1883
Utah,True,All Ages,,63.0,63.002839565,3380800,2130,6434
Idaho,True,All Ages,,60.8,60.751931504,1939033,1178,3223
Colorado,True,All Ages,,59.2,59.178832061,5839926,3456,10427
Indiana,True,All Ages,,58.1,58.070810973,6833037,3968,12126
Mississippi,True,All Ages,,57.8,57.787995267,2940057,1699,4962
Arkansas,True,All Ages,,57.2,57.229407181,3045637,1743,4790
Wyoming,True,All Ages,,56.2,56.245388136,581381,327,978
West Virginia,True,All Ages,,55.7,55.657080279,1775156,988,2641
Delaware,True,All Ages,,55.1,55.086626420,1018396,561,1906
Hawaii,True,All Ages,,55.0,54.992514908,1440196,792,2621
Oklahoma,True,All Ages,,54.9,54.853475297,4019800,2205,6176
Kentucky,True,All Ages,,53.7,53.741875004,4512310,2425,6872
Kansas,True,All Ages,,53.5,53.487224010,2937150,1571,4644
Arizona,True,All Ages,,52.8,52.831851084,7359197,3888,11220
Oregon,True,All Ages,,52.8,52.804897578,4240137,2239,6561
Alabama,True,All Ages,,52.1,52.125457403,5074296,2645,7577
Tennessee,True,All Ages,,51.8,51.819945120,7051339,3654,10535
Ohio,True,All Ages,,51.0,51.020503642,11756058,5998,17816
North Dakota,True,All Ages,,50.6,50.560723557,779261,394,1168
Iowa,True,All Ages,,50.5,50.491842412,3200517,1616,5231
Nevada,True,All Ages,,50.4,50.444147661,3177772,1603,4503
Washington,True,All Ages,,49.9,49.949998626,7785786,3889,11982
South Dakota,True,All Ages,,49.8,49.789849465,909824,453,1347
Montana,True,All Ages,,49.2,49.248931530,1122867,553,1593
Maine,True,All Ages,,48.9,48.868869736,1385340,677,2099
Georgia,True,All Ages,,48.3,48.291577766,10912876,5270,15929
Michigan,True,All Ages,,48.0,48.016202329,10034113,4818,14971
Vermont,True,All Ages,,47.8,47.754163421,647064,309,914
Nebraska,True,All Ages,,47.6,47.613651550,1967923,937,3208
Texas,True,All Ages,,47.5,47.496514436,30029572,14263,42671
Virginia,True,All Ages,,47.4,47.434140075,8683619,4119,13268
Minnesota,True,All Ages,,46.9,46.876224379,5717184,2680,9154
District of Columbia,True,All Ages,,46.7,46.739892498,671803,314,1282
Missouri,True,All Ages,,46.6,46.568792887,6177957,2877,8621
California,True,All Ages,,45.5,45.455544703,39029342,17741,56957
South Carolina,True,All Ages,,45.1,45.110071983,5282634,2383,7121
Wisconsin,True,All Ages,,44.9,44.870301240,5892539,2644,8870
Connecticut,True,All Ages,,44.8,44.812689851,3626205,1625,5514
Illinois,True,All Ages,,44.5,44.531757668,12582032,5603,18144
Pennsylvania,True,All Ages,,44.0,43.979312995,12972008,5705,17935
New Hampshire,True,All Ages,,43.5,43.505340693,1395231,607,1931
North Carolina,True,All Ages,,43.3,43.303221720,10698973,4633,14903
Maryland,True,All Ages,,42.3,42.338101371,6164660,2610,8756
Florida,True,All Ages,,41.7,41.749039765,22244823,9287,27696
New Mexico,True,All Ages,,41.4,41.356258139,2113344,874,2541
New York,True,All Ages,,40.5,40.508913104,19677151,7971,25835
Massachusetts,True,All Ages,,38.7,38.671011952,6981974,2700,9304
Rhode Island,True,All Ages,,38.6,38.583421563,1093734,422,1330
New Jersey,True,All Ages,,37.2,37.185401944,9261699,3444,11815
Louisiana,True,All Ages,,37.0,36.969736447,4590241,1697,4971
