State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Alabama,All Ages,2021,4520,40.358127788,10.089531947,89.684728417,22.421182104,57.977605406,14.494401351,24.325990495,6.081497624,55.199759835,13.799939959,1226,2782,2922,2034,5039877
Alaska,All Ages,2021,1278,70.154079651,17.538519913,174.429793373,43.607448343,114.512203944,28.628050986,51.045964571,12.761491143,99.635171489,24.908792872,374,730,839,514,732673
Arizona,All Ages,2021,6492,35.168895908,8.792223977,89.220973910,22.305243478,57.336707202,14.334176800,25.479926930,6.369981733,53.969618692,13.492404673,1854,3927,4172,2559,7276316
Arkansas,All Ages,2021,3223,43.293033358,10.823258339,106.514081307,26.628520327,53.670142117,13.417535529,38.501056383,9.625264096,54.000623287,13.500155822,1165,1634,1624,1310,3025891
California,All Ages,2021,25049,24.563026361,6.140756590,63.838892644,15.959723161,44.632940512,11.158235128,17.934220429,4.483555107,41.021630245,10.255407561,7037,16096,17513,9638,39237836
Colorado,All Ages,2021,6089,36.441411828,9.110352957,104.764757610,26.191189403,54.799762357,13.699940589,28.148323772,7.037080943,51.375852558,12.843963139,1636,2986,3185,2118,5812069
Connecticut,All Ages,2021,2620,27.457311508,6.864327877,72.664804192,18.166201048,42.933250721,10.733312680,19.968953824,4.992238456,39.688295725,9.922073931,720,1431,1548,990,3605597
Delaware,All Ages,2021,925,34.383645743,8.595911436,92.188035687,23.047008922,61.790899596,15.447724899,25.712987251,6.428246813,55.611809636,13.902952409,258,558,620,345,1003384
District of Columbia,All Ages,2021,600,22.237146482,5.559286620,89.545556302,22.386389075,54.473546750,13.618386688,22.834116857,5.708529214,48.205357809,12.051339452,153,323,365,149,670050
Florida,All Ages,2021,13999,25.972024957,6.493006239,64.271235172,16.067808793,40.287169700,10.071792425,19.057782499,4.764445625,39.809692133,9.952423033,4151,8671,8775,5657,21781128
Georgia,All Ages,2021,7800,29.464146985,7.366036746,72.225124602,18.056281151,47.538947398,11.884736850,21.361969546,5.340492386,44.890692830,11.222673207,2307,4848,5134,3182,10799566
Hawaii,All Ages,2021,1017,22.198281992,5.549570498,70.548914955,17.637228739,64.305648145,16.076412036,19.007278955,4.751819739,54.108312355,13.527078089,274,780,927,320,1441553
Idaho,All Ages,2021,1763,34.088703225,8.522175806,92.744419422,23.186104855,54.078992153,13.519748038,26.671253912,6.667813478,51.974751213,12.993687803,507,988,1028,648,1900923
Illinois,All Ages,2021,8803,25.387743126,6.346935781,69.471029760,17.367757440,42.994225847,10.748556462,20.494861330,5.123715332,41.534253053,10.383563263,2597,5263,5448,3217,12671469
Indiana,All Ages,2021,7177,40.699472597,10.174868149,105.451304991,26.362826248,63.370695057,15.842673764,31.251905492,7.812976373,61.181445448,15.295361362,2127,4164,4313,2770,6805985
Iowa,All Ages,2021,2880,34.543461029,8.635865257,90.195075036,22.548768759,49.231478457,12.307869614,26.745345167,6.686336292,48.010086816,12.002521704,854,1533,1572,1103,3193079
Kansas,All Ages,2021,2819,36.086911185,9.021727796,96.061381144,24.015345286,51.012375868,12.753093967,28.828637264,7.207159316,48.115881580,12.028970395,846,1412,1497,1059,2934582
Kentucky,All Ages,2021,4289,38.940930866,9.735232716,95.112558362,23.778139590,46.902089283,11.725522321,29.183522221,7.295880555,48.964450656,12.241112664,1316,2208,2115,1756,4509394
Louisiana,All Ages,2021,2808,25.713406460,6.428351615,60.726026357,15.181506589,35.964167319,8.991041830,18.382166098,4.595541525,35.228880675,8.807220169,850,1629,1663,1189,4624047
Maine,All Ages,2021,1540,41.902077396,10.475519349,112.224694242,28.056173561,51.011224656,12.752806164,28.930651698,7.232662924,51.594210080,12.898552520,397,708,700,575,1372247
Maryland,All Ages,2021,3973,22.821906890,5.705476722,64.443096000,16.110774000,40.323568250,10.080892062,17.225916927,4.306479232,36.592908275,9.148227069,1062,2256,2486,1407,6165129
Massachusetts,All Ages,2021,5034,24.625171249,6.156292812,72.071576783,18.017894196,38.340818956,9.585204739,19.413797798,4.853449450,35.606279590,8.901569898,1356,2487,2678,1720,6984723
Michigan,All Ages,2021,8165,31.111917237,7.777979309,81.237225533,20.309306383,44.742658080,11.185664520,23.530439484,5.882609871,43.489027900,10.872256975,2365,4371,4497,3127,10050811
Minnesota,All Ages,2021,4744,27.560758946,6.890189736,83.120305429,20.780076357,44.678916282,11.169729071,23.723628489,5.930907122,40.491362952,10.122840738,1354,2311,2550,1573,5707390
Mississippi,All Ages,2021,2107,29.763064986,7.440766246,71.424576224,17.856144056,44.271711698,11.067927925,24.305373115,6.076343279,45.559862575,11.389965644,717,1344,1306,878,2949965
Missouri,All Ages,2021,5632,34.175358173,8.543839543,91.307218799,22.826804700,44.324207421,11.081051855,27.803956008,6.950989002,43.481172020,10.870293005,1715,2682,2734,2108,6168187
Montana,All Ages,2021,1170,34.864630150,8.716157537,105.952252663,26.488063166,49.263269614,12.315817404,28.163376562,7.040844141,46.546545187,11.636636297,311,514,544,385,1104271
Nebraska,All Ages,2021,1687,30.401916390,7.600479098,85.909602932,21.477400733,45.984808208,11.496202052,23.730809109,5.932702277,45.373714411,11.343428603,466,891,903,597,1963692
Nevada,All Ages,2021,2424,30.407211725,7.601802931,77.099457346,19.274864336,52.194805901,13.048701475,21.342300280,5.335575070,48.727874857,12.181968714,671,1532,1641,956,3143991
New Hampshire,All Ages,2021,1225,30.669723080,7.667430770,88.193452518,22.048363130,43.988734276,10.997183569,25.414113256,6.353528314,42.692830484,10.673207621,353,593,611,426,1388992
New Jersey,All Ages,2021,5023,20.675225232,5.168806308,54.202325855,13.550581464,38.447717902,9.611929475,15.279811549,3.819952887,35.566566995,8.891641749,1416,3296,3563,1916,9267130
New Mexico,All Ages,2021,1599,27.411801348,6.852950337,75.571500612,18.892875153,45.323995676,11.330998919,23.394554598,5.848638650,41.826627918,10.456656980,495,885,959,580,2115877
New York,All Ages,2021,12488,23.371750017,5.842937504,62.956517303,15.739129326,41.727345749,10.431836437,17.846418262,4.461604565,38.521040095,9.630260024,3540,7641,8277,4636,19835913
North Carolina,All Ages,2021,7245,27.371392838,6.842848210,68.665422823,17.166355706,39.294250245,9.823562561,20.670709065,5.167677266,38.024247945,9.506061986,2181,4012,4146,2888,10551162
North Dakota,All Ages,2021,637,28.001878836,7.000469709,82.199063679,20.549765920,47.358016280,11.839504070,26.840510589,6.710127647,45.680484368,11.420121092,208,354,367,217,774948
Ohio,All Ages,2021,10299,34.329322275,8.582330569,87.427717634,21.856929409,47.673954970,11.918488742,28.268210479,7.067052620,45.364960000,11.341240000,3330,5344,5616,4044,11780017
Oklahoma,All Ages,2021,4159,40.610649723,10.152662431,104.323466459,26.080866615,49.690980297,12.422745074,31.103894785,7.775973696,51.095672319,12.773918080,1240,2037,1981,1619,3986639
Oregon,All Ages,2021,4864,36.221004650,9.055251163,114.550693510,28.637673377,45.759045536,11.439761384,27.931151830,6.982787958,45.028973271,11.257243318,1186,1912,1943,1538,4246155
Pennsylvania,All Ages,2021,9679,27.506823482,6.876705870,74.660276074,18.665069019,41.499357917,10.374839479,22.546955984,5.636738996,39.694367257,9.923591814,2923,5146,5380,3566,12964056
Rhode Island,All Ages,2021,715,24.187438961,6.046859740,65.260448517,16.315112129,33.771141191,8.442785298,19.441224523,4.860306131,31.215487263,7.803871816,213,342,370,265,1095610
South Carolina,All Ages,2021,3836,29.071195531,7.267798883,73.901329396,18.475332349,43.500834665,10.875208666,21.403643628,5.350910907,42.884348080,10.721087020,1111,2226,2258,1509,5190705
South Dakota,All Ages,2021,761,29.484819785,7.371204946,84.992226729,21.248056682,49.923160773,12.480790193,26.581011776,6.645252944,47.131037687,11.782759422,238,422,447,264,895376
Tennessee,All Ages,2021,6386,34.708592620,8.677148155,91.552694124,22.888173531,47.224330480,11.806082620,28.658602498,7.164650625,49.747549109,12.436887277,1999,3470,3294,2421,6975218
Texas,All Ages,2021,20164,26.845759411,6.711439853,68.287863349,17.071965837,46.345933839,11.586483460,20.438268960,5.109567240,44.910005747,11.227501437,6035,13261,13685,7927,29527941
Utah,All Ages,2021,3244,35.740231727,8.935057932,97.184670347,24.296167587,59.047775972,14.761943993,28.789910050,7.197477513,56.711029891,14.177757473,961,1893,1971,1193,3337975
Vermont,All Ages,2021,624,31.290177672,7.822544418,96.658766671,24.164691668,47.245070248,11.811267562,24.474495407,6.118623852,41.978406679,10.494601670,158,271,305,202,645570
Virginia,All Ages,2021,6740,29.841682872,7.460420718,77.988733058,19.497183264,46.179975317,11.544993829,23.419761975,5.854940494,43.553351815,10.888337954,2024,3764,3991,2579,8642274
Washington,All Ages,2021,7380,32.266434689,8.066608672,95.364953147,23.841238287,48.276892271,12.069223068,26.386888120,6.596722030,45.886307402,11.471576850,2042,3551,3736,2497,7738692
West Virginia,All Ages,2021,1766,42.681856397,10.670464099,99.048828380,24.762207095,54.572202726,13.643050681,32.922798561,8.230699640,52.945693087,13.236423272,587,944,973,761,1782959
Wisconsin,All Ages,2021,4749,29.478071910,7.369517978,80.547389817,20.136847454,45.506137477,11.376534369,23.100767515,5.775191879,43.555632144,10.888908036,1362,2568,2683,1738,5895908
Wyoming,All Ages,2021,638,39.737181735,9.934295434,110.227486727,27.556871682,64.788883264,16.197220816,30.062041835,7.515510459,58.914691182,14.728672795,174,341,375,230,578803
