State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
New York,All Ages,2020,7298,16.107148685,4.026787171,36.791853241,9.197963310,34.861011943,8.715252986,9.371890268,2.342972567,31.155611542,7.788902885,1859,6180,6915,3195,19835913
North Carolina,All Ages,2020,4409,19.173243667,4.793310917,41.786866698,10.446716674,34.716555390,8.679138847,11.335244402,2.833811101,32.868417716,8.217104429,1196,3468,3663,2023,10551162
North Dakota,All Ages,2020,381,19.227096528,4.806774132,49.164589108,12.291147277,40.647888633,10.161972158,14.839705374,3.709926343,36.389538395,9.097384599,115,282,315,149,774948
Ohio,All Ages,2020,6111,22.690968952,5.672742238,51.875986257,12.968996564,39.694340000,9.923585000,14.779265599,3.694816400,36.799607335,9.199901834,1741,4335,4676,2673,11780017
Oklahoma,All Ages,2020,2409,26.187472706,6.546868176,60.426840755,15.106710189,37.751098105,9.437774526,16.279377190,4.069844297,37.450092672,9.362523168,649,1493,1505,1044,3986639
Oregon,All Ages,2020,2881,27.530789620,6.882697405,67.849619244,16.962404811,39.353250176,9.838312544,15.637676910,3.909419228,38.199264982,9.549816246,664,1622,1671,1169,4246155
Pennsylvania,All Ages,2020,5815,20.649401700,5.162350425,44.854789273,11.213697318,35.274454229,8.818613557,12.503802822,3.125950706,33.153204522,8.288301130,1621,4298,4573,2677,12964056
Rhode Island,All Ages,2020,439,15.516470277,3.879117569,40.069002656,10.017250664,31.215487263,7.803871816,10.861529194,2.715382298,29.207473462,7.301868366,119,320,342,170,1095610
South Carolina,All Ages,2020,2199,19.881692371,4.970423093,42.364187524,10.591046881,34.446187946,8.611546986,11.462797443,2.865699361,32.827910660,8.206977665,595,1704,1788,1032,5190705
South Dakota,All Ages,2020,475,20.996765605,5.249191401,53.050338629,13.262584657,33.840531799,8.460132950,13.625560658,3.406390165,31.941888101,7.985472025,122,286,303,188,895376
Tennessee,All Ages,2020,3652,23.726856996,5.931714249,52.356786555,13.089196639,36.658352470,9.164588118,14.092749503,3.523187376,37.876952376,9.469238094,983,2642,2557,1655,6975218
Texas,All Ages,2020,12330,20.238458211,5.059614553,41.757059864,10.439264966,39.626874085,9.906718521,10.908312232,2.727078058,36.870163077,9.217540769,3221,10887,11701,5976,29527941
Utah,All Ages,2020,2014,24.955249815,6.238812454,60.335982145,15.083995536,47.334087283,11.833521821,14.859308413,3.714827103,44.607883522,11.151970881,496,1489,1580,833,3337975
Vermont,All Ages,2020,318,22.925476711,5.731369178,49.258794554,12.314698638,38.570565547,9.642641387,10.688229007,2.672057252,30.825472063,7.706368016,69,199,249,148,645570
Virginia,All Ages,2020,3959,20.885706702,5.221426675,45.809702400,11.452425600,40.058901164,10.014725291,12.716560479,3.179140120,37.004149602,9.251037401,1099,3198,3462,1805,8642274
Washington,All Ages,2020,4587,24.926693038,6.231673260,59.273582667,14.818395667,42.552410666,10.638102666,13.787859757,3.446964939,39.800007546,9.950001887,1067,3080,3293,1929,7738692
West Virginia,All Ages,2020,985,29.894125440,7.473531360,55.245241197,13.811310299,41.223606376,10.305901594,15.592057922,3.898014480,39.933615972,9.983403993,278,712,735,533,1782959
Wisconsin,All Ages,2020,2873,21.659089660,5.414772415,48.728711506,12.182177877,38.280787285,9.570196821,11.601266506,2.900316626,35.516157986,8.879039497,684,2094,2257,1277,5895908
Wyoming,All Ages,2020,320,20.386901934,5.096725483,55.286513719,13.821628430,48.030158793,12.007539698,11.575613810,2.893903452,44.574751686,11.143687921,67,258,278,118,578803
