State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Alabama,All Ages,2022,5037,30.999374100,7.749843525,99.265001490,24.816250372,54.963289489,13.740822372,25.047809588,6.261952397,52.125457403,13.031364351,1271,2645,2789,1573,5074296
Alaska,All Ages,2022,1229,47.847346517,11.961836629,167.533871423,41.883467856,96.921548073,24.230387018,40.077264604,10.019316151,83.698777098,20.924694275,294,614,711,351,733583
Arizona,All Ages,2022,7046,28.875433013,7.218858253,95.744141650,23.936035413,56.690967778,14.172741945,22.882931385,5.720732846,52.831851084,13.207962771,1684,3888,4172,2125,7359197
Arkansas,All Ages,2022,3707,36.051571477,9.012892869,121.715096054,30.428774013,57.689081135,14.422270284,35.559063670,8.889765918,57.229407181,14.307351795,1083,1743,1757,1098,3045637
California,All Ages,2022,29475,20.943217541,5.235804385,75.520104848,18.880026212,50.144324749,12.536081187,18.234998684,4.558749671,45.455544703,11.363886176,7117,17741,19571,8174,39029342
Colorado,All Ages,2022,8013,33.082610978,8.270652745,137.210642738,34.302660684,63.100114625,15.775028656,31.798348130,7.949587032,59.178832061,14.794708015,1857,3456,3685,1932,5839926
Connecticut,All Ages,2022,3258,23.523215042,5.880803760,89.845996021,22.461499005,49.031976957,12.257994239,21.289474809,5.322368702,44.812689851,11.203172463,772,1625,1778,853,3626205
Delaware,All Ages,2022,1144,34.662351384,8.665587846,112.333512700,28.083378175,62.942116819,15.735529205,29.065314475,7.266328619,55.086626420,13.771656605,296,561,641,353,1018396
District of Columbia,All Ages,2022,646,20.988295676,5.247073919,96.159141891,24.039785473,54.926816343,13.731704086,19.499764068,4.874941017,46.739892498,11.684973125,131,314,369,141,671803
Florida,All Ages,2022,16431,22.728883930,5.682220982,73.864377343,18.466094336,43.106659019,10.776664755,18.359327921,4.589831980,41.749039765,10.437259941,4084,9287,9589,5056,22244823
Georgia,All Ages,2022,9225,25.859360997,6.464840249,84.533169808,21.133292452,51.663741071,12.915935268,21.387579223,5.346894806,48.291577766,12.072894441,2334,5270,5638,2822,10912876
Hawaii,All Ages,2022,1206,19.997278148,4.999319537,83.738602246,20.934650561,62.977539168,15.744384792,21.177673039,5.294418260,54.992514908,13.748128727,305,792,907,288,1440196
Idaho,All Ages,2022,2260,31.097975125,7.774493781,116.552941595,29.138235399,63.227392210,15.806848053,26.869063085,6.717265771,60.751931504,15.187982876,521,1178,1226,603,1939033
Illinois,All Ages,2022,10487,22.961314993,5.740328748,83.349017075,20.837254269,47.416824246,11.854206061,20.060352732,5.015088183,44.531757668,11.132939417,2524,5603,5966,2889,12582032
Indiana,All Ages,2022,8352,34.538083139,8.634520785,122.229690839,30.557422710,60.251393341,15.062848335,32.708735515,8.177183879,58.070810973,14.517702743,2235,3968,4117,2360,6833037
Iowa,All Ages,2022,3757,30.120133716,7.530033429,117.387284617,29.346821154,54.022521986,13.505630497,28.682865924,7.170716481,50.491842412,12.622960603,918,1616,1729,964,3200517
Kansas,All Ages,2022,3359,30.710042048,7.677510512,114.362562348,28.590640587,56.721651942,14.180412985,26.556355651,6.639088913,53.487224010,13.371806002,780,1571,1666,902,2937150
Kentucky,All Ages,2022,5334,34.572092786,8.643023197,118.209963411,29.552490853,53.342966241,13.335741560,32.422417786,8.105604447,53.741875004,13.435468751,1463,2425,2407,1560,4512310
Louisiana,All Ages,2022,3364,23.310322922,5.827580731,73.285912439,18.321478110,37.187589933,9.296897483,18.517546246,4.629386562,36.969736447,9.242434112,850,1697,1707,1070,4590241
Maine,All Ages,2022,1912,37.896833990,9.474208498,138.016660170,34.504165043,51.828432009,12.957108002,30.750573866,7.687643467,48.868869736,12.217217434,426,677,718,525,1385340
Maryland,All Ages,2022,4861,21.963903930,5.490975982,78.852686117,19.713171529,47.610087174,11.902521794,19.287357291,4.821839323,42.338101371,10.584525343,1189,2610,2935,1354,6164660
Massachusetts,All Ages,2022,5746,21.369314753,5.342328688,82.297642472,20.574410618,43.526372341,10.881593085,18.275633796,4.568908449,38.671011952,9.667752988,1276,2700,3039,1492,6981974
Michigan,All Ages,2022,10147,27.197222116,6.799305529,101.125032178,25.281258044,49.421408748,12.355352187,23.968237153,5.992059288,48.016202329,12.004050582,2405,4818,4959,2729,10034113
Minnesota,All Ages,2022,6111,24.242704100,6.060676025,106.888286261,26.722071565,52.350947599,13.087736900,27.688456415,6.922114104,46.876224379,11.719056095,1583,2680,2993,1386,5717184
Mississippi,All Ages,2022,2981,28.808965268,7.202241317,101.392592048,25.348148012,54.556765396,13.639191349,34.863269658,8.715817414,57.787995267,14.446998817,1025,1699,1604,847,2940057
Missouri,All Ages,2022,6875,30.107040240,7.526760060,111.282742823,27.820685706,46.811591599,11.702897900,26.076581627,6.519145407,46.568792887,11.642198222,1611,2877,2892,1860,6177957
Montana,All Ages,2022,1292,30.546805632,7.636701408,115.062603140,28.765650785,49.783277984,12.445819496,28.676593043,7.169148261,49.248931530,12.312232882,322,553,559,343,1122867
Nebraska,All Ages,2022,2069,27.186023030,6.796505758,105.136227383,26.284056846,50.560921337,12.640230334,24.086308255,6.021577064,47.613651550,11.903412888,474,937,995,535,1967923
Nevada,All Ages,2022,2797,25.143402359,6.285850590,88.017642550,22.004410637,53.811286650,13.452821662,21.744794781,5.436198695,50.444147661,12.611036915,691,1603,1710,799,3177772
New Hampshire,All Ages,2022,1508,25.372142677,6.343035669,108.082460897,27.020615224,44.222067887,11.055516972,24.225379167,6.056344792,43.505340693,10.876335173,338,607,617,354,1395231
New Jersey,All Ages,2022,5795,17.318636678,4.329659169,62.569513434,15.642378358,41.277523703,10.319380926,14.597753609,3.649438402,37.185401944,9.296350486,1352,3444,3823,1604,9261699
New Mexico,All Ages,2022,1864,23.611868205,5.902967051,88.201447564,22.050361891,45.236364738,11.309091184,19.589806487,4.897451622,41.356258139,10.339064535,414,874,956,499,2113344
New York,All Ages,2022,14193,19.398133398,4.849533350,72.129344334,18.032336084,44.371260860,11.092815215,16.475962399,4.118990600,40.508913104,10.127228276,3242,7971,8731,3817,19677151
North Carolina,All Ages,2022,9237,24.366824741,6.091706185,86.335389387,21.583847347,45.406227308,11.351556827,22.132965472,5.533241368,43.303221720,10.825805430,2368,4633,4858,2607,10698973
North Dakota,All Ages,2022,816,27.590242550,6.897560638,104.714594982,26.178648745,51.330683815,12.832670954,24.895381650,6.223845413,50.560723557,12.640180889,194,394,400,215,779261
Ohio,All Ages,2022,12425,29.516696838,7.379174210,105.690189688,26.422547422,54.167817137,13.541954284,28.538477779,7.134619445,51.020503642,12.755125910,3355,5998,6368,3470,11756058
Oklahoma,All Ages,2022,5377,39.106423205,9.776605801,133.762873775,33.440718444,54.156923230,13.539230808,33.807652122,8.451913030,54.853475297,13.713368824,1359,2205,2177,1572,4019800
Oregon,All Ages,2022,5737,31.131069586,7.782767396,135.302231980,33.825557995,55.729331387,13.932332847,27.876457765,6.969114441,52.804897578,13.201224394,1182,2239,2363,1320,4240137
Pennsylvania,All Ages,2022,11836,25.331467572,6.332866893,91.242620264,22.810655066,46.322820646,11.580705161,22.856908506,5.714227127,43.979312995,10.994828249,2965,5705,6009,3286,12972008
Rhode Island,All Ages,2022,862,21.303168778,5.325792194,78.812581487,19.703145372,42.057758102,10.514439526,17.463112603,4.365778151,38.583421563,9.645855391,191,422,460,233,1093734
South Carolina,All Ages,2022,4631,26.558720517,6.639680129,87.664600652,21.916150163,46.719117773,11.679779443,21.939812601,5.484953150,45.110071983,11.277517996,1159,2383,2468,1403,5282634
South Dakota,All Ages,2022,974,30.115714688,7.528928672,107.053671919,26.763417980,54.625949634,13.656487409,30.335537423,7.583884356,49.789849465,12.447462366,276,453,497,274,909824
Tennessee,All Ages,2022,7794,31.540108907,7.885027227,110.532198211,27.633049553,50.713772235,12.678443059,27.370688035,6.842672009,51.819945120,12.954986280,1930,3654,3576,2224,7051339
Texas,All Ages,2022,24520,24.482533417,6.120633354,81.652845402,20.413211350,49.171529984,12.292882496,20.140147186,5.035036796,47.496514436,11.874128609,6048,14263,14766,7352,30029572
Utah,All Ages,2022,4309,32.033838145,8.008459536,127.455040227,31.863760057,65.783246569,16.445811642,29.371746332,7.342936583,63.002839565,15.750709891,993,2130,2224,1083,3380800
Vermont,All Ages,2022,762,29.827034111,7.456758528,117.762694262,29.440673566,50.226870912,12.556717728,25.963428656,6.490857164,47.754163421,11.938540855,168,309,325,193,647064
Virginia,All Ages,2022,7993,25.277479355,6.319369839,92.046875848,23.011718962,51.050143955,12.762535989,22.410011310,5.602502827,47.434140075,11.858535019,1946,4119,4433,2195,8683619
Washington,All Ages,2022,8972,26.766725929,6.691681482,115.235635811,28.808908953,53.494920102,13.373730025,26.034622580,6.508655645,49.949998626,12.487499656,2027,3889,4165,2084,7785786
West Virginia,All Ages,2022,2135,36.729166338,9.182291585,120.271119834,30.067779958,54.530418735,13.632604684,36.222168643,9.055542161,55.657080279,13.914270070,643,988,968,652,1775156
Wisconsin,All Ages,2022,6041,25.540772832,6.385193208,102.519474203,25.629868551,47.941982225,11.985495556,23.724917222,5.931229305,44.870301240,11.217575310,1398,2644,2825,1505,5892539
Wyoming,All Ages,2022,748,32.336798072,8.084199518,128.659175308,32.164793827,59.341464547,14.835366137,33.196819298,8.299204824,56.245388136,14.061347034,193,327,345,188,581381
