State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Louisiana,All Ages,2023,2850,15.554738847,3.888684712,62.088243297,15.522060824,29.039869584,7.259967396,13.397989343,3.349497336,27.427753793,6.856938448,615,1259,1333,714,4590241
Maine,All Ages,2023,1490,24.759264874,6.189816218,107.554824087,26.888706022,44.249065211,11.062266303,20.933489252,5.233372313,40.712027372,10.178006843,290,564,613,343,1385340
Maryland,All Ages,2023,4229,15.572634987,3.893158747,68.600701417,17.150175354,38.882922984,9.720730746,12.312114537,3.078028634,32.491654041,8.122913510,759,2003,2397,960,6164660
Massachusetts,All Ages,2023,5087,14.637694154,3.659423538,72.859051036,18.214762759,36.665848369,9.166462092,12.260143048,3.065035762,32.426359651,8.106589913,856,2264,2560,1022,6981974
Michigan,All Ages,2023,8917,19.922039945,4.980509986,88.866848520,22.216712130,40.461972075,10.115493019,17.241185145,4.310296286,37.173191093,9.293297773,1730,3730,4060,1999,10034113
Minnesota,All Ages,2023,5459,18.575578467,4.643894617,95.484070479,23.871017620,44.444957518,11.111239379,18.628051852,4.657012963,38.690376241,9.672594060,1065,2212,2541,1062,5717184
Mississippi,All Ages,2023,2261,17.822783708,4.455695927,76.903270923,19.225817731,36.904046418,9.226011605,21.292104201,5.323026050,36.870033472,9.217508368,626,1084,1085,524,2940057
Missouri,All Ages,2023,6135,23.049691022,5.762422756,99.304673050,24.826168262,40.612131162,10.153032791,19.763815125,4.940953781,38.718301212,9.679575303,1221,2392,2509,1424,6177957
Montana,All Ages,2023,1237,22.353493334,5.588373334,110.164427310,27.541106827,43.460178276,10.865044569,19.948934291,4.987233573,41.500907944,10.375226986,224,466,488,251,1122867
Nebraska,All Ages,2023,1865,21.596373435,5.399093359,94.769968134,23.692492033,43.954971815,10.988742954,17.581988726,4.395497182,40.194662088,10.048665522,346,791,865,425,1967923
Nevada,All Ages,2023,2403,18.000032727,4.500008182,75.619018608,18.904754652,41.255319765,10.313829941,13.468555957,3.367138989,36.000065455,9.000016364,428,1144,1311,572,3177772
New Hampshire,All Ages,2023,1335,19.566652404,4.891663101,95.683080436,23.920770109,37.699850419,9.424962605,18.348216174,4.587054043,36.123050592,9.030762648,256,504,526,273,1395231
New Jersey,All Ages,2023,4951,12.211582346,3.052895586,53.456714583,13.364178646,33.287628976,8.321907244,9.685048067,2.421262017,28.882389721,7.220597430,897,2675,3083,1131,9261699
New Mexico,All Ages,2023,1649,17.129251083,4.282312771,78.027997335,19.506999334,37.050286182,9.262571545,14.621377305,3.655344326,32.933587717,8.233396929,309,696,783,362,2113344
New York,All Ages,2023,12499,14.067077089,3.516769272,63.520374469,15.880093617,36.473776107,9.118444027,11.073757578,2.768439395,32.037158225,8.009289556,2179,6304,7177,2768,19677151
North Carolina,All Ages,2023,8190,17.347459424,4.336864856,76.549403387,19.137350847,36.349283244,9.087320811,14.188277697,3.547069424,32.928394155,8.232098539,1518,3523,3889,1856,10698973
North Dakota,All Ages,2023,722,23.098807717,5.774701929,92.651884285,23.162971071,43.502754533,10.875688633,18.992353011,4.748088253,40.422913504,10.105728376,148,315,339,180,779261
Ohio,All Ages,2023,11153,21.818538153,5.454634538,94.870236265,23.717559066,44.198488983,11.049622246,18.458568340,4.614642085,39.758225079,9.939556270,2170,4674,5196,2565,11756058
Oklahoma,All Ages,2023,4523,26.568485994,6.642121499,112.518035723,28.129508931,42.713567839,10.678391960,22.986218220,5.746554555,41.494601721,10.373650430,924,1668,1717,1068,4019800
Oregon,All Ages,2023,5276,24.881271525,6.220317881,124.429941768,31.107485442,47.970148134,11.992537034,18.796562470,4.699140617,43.441992558,10.860498140,797,1842,2034,1055,4240137
Pennsylvania,All Ages,2023,10006,18.061968509,4.515492127,77.135320916,19.283830229,36.694396118,9.173599030,15.356142241,3.839035560,33.263932616,8.315983154,1992,4315,4760,2343,12972008
Rhode Island,All Ages,2023,750,13.257336793,3.314334198,68.572431688,17.143107922,34.011926117,8.502981529,11.520168524,2.880042131,30.080440034,7.520110008,126,329,372,145,1093734
South Carolina,All Ages,2023,4088,19.403199237,4.850799809,77.385637544,19.346409386,37.310932387,9.327733097,15.371119786,3.842779947,35.399007389,8.849751847,812,1870,1971,1025,5282634
South Dakota,All Ages,2023,888,20.223691615,5.055922904,97.601294316,24.400323579,46.602419809,11.650604952,21.982273495,5.495568374,42.755521947,10.688880487,200,389,424,184,909824
Tennessee,All Ages,2023,6523,21.513644430,5.378411107,92.507252878,23.126813219,40.573854129,10.143463532,18.606395183,4.651598796,40.644762647,10.161190662,1312,2866,2861,1517,7051339
Texas,All Ages,2023,20878,17.436145943,4.359036486,69.524800420,17.381200105,39.038185426,9.759546357,13.483375654,3.370843913,35.624883365,8.906220841,4049,10698,11723,5236,30029572
Utah,All Ages,2023,3629,22.568622811,5.642155703,107.341457643,26.835364411,53.271415050,13.317853762,18.516327496,4.629081874,47.769758637,11.942439659,626,1615,1801,763,3380800
Vermont,All Ages,2023,740,20.245292583,5.061323146,114.362721462,28.590680365,41.726938912,10.431734728,21.481646329,5.370411582,37.245156584,9.311289146,139,241,270,131,647064
Virginia,All Ages,2023,6855,18.298822185,4.574705546,78.941740765,19.735435191,41.284630291,10.321157573,16.133826231,4.033456558,37.507403307,9.376850827,1401,3257,3585,1589,8683619
Washington,All Ages,2023,8222,21.783285592,5.445821398,105.602697017,26.400674254,45.017933963,11.254483491,18.636525586,4.659131397,39.713395667,9.928348917,1451,3092,3505,1696,7785786
West Virginia,All Ages,2023,1729,26.983543981,6.745885995,97.399890488,24.349972622,40.954147128,10.238536782,23.716225504,5.929056376,40.672481742,10.168120436,421,722,727,479,1775156
Wisconsin,All Ages,2023,5093,19.668940672,4.917235168,86.431332911,21.607833228,40.016705872,10.004176468,15.680846576,3.920211644,35.264934182,8.816233546,924,2078,2358,1159,5892539
Wyoming,All Ages,2023,597,20.124496673,5.031124168,102.686534304,25.671633576,43.345069756,10.836267439,20.640509408,5.160127352,42.485048531,10.621262133,120,247,252,117,581381
