State,Age1,Year1,Count of Trauma Survivor,Number of People At Possible Risk for Psychotic-Like Episodes,Number of People At Possible Risk for Psychotic-Like Episodes All Years,Number of People Identifying as Trauma Survivors,Number of People Identifying as Trauma Survivors All Years,Number of People Reporting Frequent Suicidal Ideation,Number of People Reporting Frequent Suicidal Ideation All Years,Number of People Scoring Positive for PTSD,Number of People Scoring Positive for PTSD All Years,Number of People Scoring with Severe Depression,Number of People Scoring with Severe Depression All Years,Positive PTSD,Positive Severe Depression,Positive Suicide,Possible Risk for Psychosis,Total Population
Alabama,All Ages,2023,3934,22.722363851,5.680590963,77.527996002,19.381999000,40.912079232,10.228019808,15.312468961,3.828117240,38.507804827,9.626951207,777,1954,2076,1153,5074296
Alaska,All Ages,2023,1000,32.852451597,8.213112899,136.317226544,34.079306636,71.430226709,17.857556677,30.262424293,7.565606073,63.523827570,15.880956892,222,466,524,241,733583
Arizona,All Ages,2023,6201,20.233185767,5.058296442,84.261910641,21.065477660,45.915335600,11.478833900,16.537130342,4.134282585,41.444739147,10.361184787,1217,3050,3379,1489,7359197
Arkansas,All Ages,2023,3116,25.905910652,6.476477663,102.310288455,25.577572114,43.701859414,10.925464853,23.279202347,5.819800587,43.012348484,10.753087121,709,1310,1331,789,3045637
California,All Ages,2023,26005,15.034842248,3.758710562,66.629357984,16.657339496,40.115972234,10.028993059,12.167768547,3.041942137,34.978811582,8.744702896,4749,13652,15657,5868,39029342
Colorado,All Ages,2023,6815,24.127018048,6.031754512,116.696684170,29.174171043,52.123948146,13.030987036,19.469424784,4.867356196,47.226625817,11.806656454,1137,2758,3044,1409,5839926
Connecticut,All Ages,2023,2762,17.456266262,4.364066565,76.167784226,19.041946057,40.400363465,10.100090866,13.843674034,3.460918508,36.015614120,9.003903530,502,1306,1465,633,3626205
Delaware,All Ages,2023,1000,21.209824076,5.302456019,98.193629983,24.548407496,50.864300331,12.716075083,19.344145107,4.836036277,44.972682532,11.243170633,197,458,518,216,1018396
District of Columbia,All Ages,2023,600,18.755498264,4.688874566,89.311896493,22.327974123,40.785766065,10.196441516,14.438756600,3.609689150,34.385080150,8.596270037,97,231,274,126,671803
Florida,All Ages,2023,13589,16.259963048,4.064990762,61.088370989,15.272092747,34.178739026,8.544684757,12.146646435,3.036661609,31.117352563,7.779338141,2702,6922,7603,3617,22244823
Georgia,All Ages,2023,8065,19.041726489,4.760431622,73.903524607,18.475881152,40.154401095,10.038600274,15.330514156,3.832628539,36.168284144,9.042071036,1673,3947,4382,2078,10912876
Hawaii,All Ages,2023,945,15.275698585,3.818924646,65.616068924,16.404017231,52.215115165,13.053778791,11.040163978,2.760040994,45.341050801,11.335262700,159,653,752,220,1440196
Idaho,All Ages,2023,1960,21.453992789,5.363498197,101.081312180,25.270328045,53.222405189,13.305601297,16.967220259,4.241805065,48.426200070,12.106550017,329,939,1032,416,1939033
Illinois,All Ages,2023,9125,15.855944413,3.963986103,72.524056528,18.131014132,37.148212626,9.287053156,13.622600864,3.405650216,33.667057912,8.416764478,1714,4236,4674,1995,12582032
Indiana,All Ages,2023,7342,25.186458086,6.296614521,107.448562038,26.862140509,46.231273151,11.557818288,22.508293165,5.627073291,44.240942937,11.060235734,1538,3023,3159,1721,6833037
Iowa,All Ages,2023,3227,21.246567351,5.311641838,100.827460063,25.206865016,45.867589518,11.466897379,21.184077447,5.296019362,40.993377008,10.248344252,678,1312,1468,680,3200517
Kansas,All Ages,2023,3123,22.675042133,5.668760533,106.327562433,26.581890608,44.669152069,11.167288017,19.474660811,4.868665203,41.468770747,10.367192687,572,1218,1312,666,2937150
Kentucky,All Ages,2023,4687,23.624263404,5.906065851,103.871409544,25.967852386,43.037823199,10.759455800,23.136708249,5.784177062,41.597319333,10.399329833,1044,1877,1942,1066,4512310
