State,Age Chart,Age1,Percentage Suffix Label %,Formatted Show # or Percent Positive Age,Show # or Percent,Total Population 2021,Positive Severe Depression,Total Depression Responses
Alaska,True,All Ages,,63.5,63.523827570,733583,466,1305
Idaho,True,All Ages,,48.4,48.426200070,1939033,939,2591
Utah,True,All Ages,,47.8,47.769758637,3380800,1615,5513
Colorado,True,All Ages,,47.2,47.226625817,5839926,2758,8387
Hawaii,True,All Ages,,45.3,45.341050801,1440196,653,2012
Delaware,True,All Ages,,45.0,44.972682532,1018396,458,1510
Indiana,True,All Ages,,44.2,44.240942937,6833037,3023,9395
Oregon,True,All Ages,,43.4,43.441992558,4240137,1842,5587
Arkansas,True,All Ages,,43.0,43.012348484,3045637,1310,3594
South Dakota,True,All Ages,,42.8,42.755521947,909824,389,1164
Wyoming,True,All Ages,,42.5,42.485048531,581381,247,697
Kentucky,True,All Ages,,41.6,41.597319333,4512310,1877,5414
Montana,True,All Ages,,41.5,41.500907944,1122867,466,1441
Oklahoma,True,All Ages,,41.5,41.494601721,4019800,1668,4885
Kansas,True,All Ages,,41.5,41.468770747,2937150,1218,3772
Arizona,True,All Ages,,41.4,41.444739147,7359197,3050,8994
Iowa,True,All Ages,,41.0,40.993377008,3200517,1312,4132
Maine,True,All Ages,,40.7,40.712027372,1385340,564,1735
West Virginia,True,All Ages,,40.7,40.672481742,1775156,722,2011
Tennessee,True,All Ages,,40.6,40.644762647,7051339,2866,8309
North Dakota,True,All Ages,,40.4,40.422913504,779261,315,954
Nebraska,True,All Ages,,40.2,40.194662088,1967923,791,2598
Ohio,True,All Ages,,39.8,39.758225079,11756058,4674,14163
Washington,True,All Ages,,39.7,39.713395667,7785786,3092,9989
Missouri,True,All Ages,,38.7,38.718301212,6177957,2392,7269
Minnesota,True,All Ages,,38.7,38.690376241,5717184,2212,7667
Alabama,True,All Ages,,38.5,38.507804827,5074296,1954,5658
Virginia,True,All Ages,,37.5,37.507403307,8683619,3257,10359
Vermont,True,All Ages,,37.2,37.245156584,647064,241,909
Michigan,True,All Ages,,37.2,37.173191093,10034113,3730,11852
Mississippi,True,All Ages,,36.9,36.870033472,2940057,1084,3151
Georgia,True,All Ages,,36.2,36.168284144,10912876,3947,12362
New Hampshire,True,All Ages,,36.1,36.123050592,1395231,504,1611
Connecticut,True,All Ages,,36.0,36.015614120,3626205,1306,4224
Nevada,True,All Ages,,36.0,36.000065455,3177772,1144,3357
Texas,True,All Ages,,35.6,35.624883365,30029572,10698,32827
South Carolina,True,All Ages,,35.4,35.399007389,5282634,1870,5611
Wisconsin,True,All Ages,,35.3,35.264934182,5892539,2078,6783
California,True,All Ages,,35.0,34.978811582,39029342,13652,46132
District of Columbia,True,All Ages,,34.4,34.385080150,671803,231,1046
Illinois,True,All Ages,,33.7,33.667057912,12582032,4236,13890
Pennsylvania,True,All Ages,,33.3,33.263932616,12972008,4315,14203
New Mexico,True,All Ages,,32.9,32.933587717,2113344,696,2085
North Carolina,True,All Ages,,32.9,32.928394155,10698973,3523,11498
Maryland,True,All Ages,,32.5,32.491654041,6164660,2003,6865
Massachusetts,True,All Ages,,32.4,32.426359651,6981974,2264,7795
New York,True,All Ages,,32.0,32.037158225,19677151,6304,20770
Florida,True,All Ages,,31.1,31.117352563,22244823,6922,21153
Rhode Island,True,All Ages,,30.1,30.080440034,1093734,329,1027
New Jersey,True,All Ages,,28.9,28.882389721,9261699,2675,9258
Louisiana,True,All Ages,,27.4,27.427753793,4590241,1259,3912
